gene,RB2060_UNT_EXP1_R1,RB2060_UNT_EXP1_R2,RB2060_TR_EXP1_R1,RB2060_TR_EXP1_R2,RB2060_UNT_EXP2_R1,RB2060_UNT_EXP2_R2,RB2060_TR_EXP2_R1,RB2060_TR_EXP2_R2,N2_UNT_EXP1_R1,N2_UNT_EXP1_R2,N2_TR_EXP1_R1,N2_TR_EXP1_R2,N2_UNT_EXP2_R1,N2_UNT_EXP2_R2,N2_TR_EXP2_R1,N2_TR_EXP2_R2,RB2598_UNT_EXP1_R1,RB2598_UNT_EXP1_R2,RB2598_TR_EXP1_R1,RB2598_TR_EXP1_R2,RB2598_UNT_EXP2_R1,RB2598_UNT_EXP2_R2,RB2598_TR_EXP2_R1,RB2598_TR_EXP2_R2
CELE_Y74C9A.6,0,8,3,0,0,0,4,0,6,0,0,0,0,7,0,0,0,16,2,18,0,0,0,1
CELE_Y74C9A.3,1042,972,690,735,1067,841,86,361,842,804,663,591,758,1051,958,973,314,943,1029,623,934,1022,1042,939
CELE_Y74C9A.2,7036,8134,4636,4575,6586,6513,768,4636,6492,5823,4520,4444,5105,6525,5215,5827,2288,7123,6954,5536,5516,6121,5939,5638
CELE_Y74C9A.4,1410,1156,960,875,1663,1240,48,555,1256,1184,995,597,1412,1767,1123,966,290,1290,862,869,1265,1104,1347,1277
CELE_Y74C9A.9,142,111,80,90,231,162,28,23,64,83,76,68,150,158,64,45,34,76,105,70,107,295,27,89
CELE_Y74C9A.5,1833,1657,515,809,1506,1407,2,403,1370,1230,842,494,914,1108,679,629,384,1484,569,631,980,1019,784,599
CELE_Y74C9A.7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE_Y74C9A.8,370,139,73,132,143,186,0,82,161,116,102,34,82,66,134,56,62,100,30,170,108,72,130,36
CELE_Y74C9A.1,8,12,6,4,40,20,14,14,4,20,10,20,0,0,6,0,0,0,34,0,0,0,4,0
CELE_Y48G1C.12,422,400,339,248,382,353,12,182,436,524,323,194,403,486,267,273,166,549,457,173,264,432,291,320
CELE_Y48G1C.4,783,521,468,303,625,506,46,169,514,592,511,443,482,647,411,489,236,579,690,298,507,517,550,345
CELE_Y48G1C.5,26,1,1,24,48,6,1,24,3,10,8,1,61,22,10,1,3,18,34,16,1,11,2,25
CELE_Y48G1C.2,1873,1635,1422,1334,1509,1278,36,771,1676,1422,1468,1343,914,1631,1417,1100,426,1940,1689,979,1392,1232,1434,1514
CELE_Y48G1C.10,935,639,512,390,808,802,3,351,937,919,775,592,402,785,479,232,297,690,435,427,818,703,520,597
CELE_Y48G1C.6,447,436,401,305,359,508,33,119,369,419,267,334,263,355,337,323,156,341,319,467,379,495,444,447
CELE_Y48G1C.9,718,656,465,683,619,609,191,507,532,579,658,553,635,581,738,736,174,836,721,746,466,701,756,725
CELE_Y48G1C.1,567,399,343,277,600,625,30,393,431,426,239,320,486,574,363,358,151,557,275,214,576,486,326,196
CELE_Y48G1C.13,22,15,3,18,5,5,2,10,18,11,5,17,34,13,0,8,4,35,16,12,0,20,14,26
CELE_Y48G1C.8,1810,1297,1710,1495,3508,2807,145,2136,2088,2177,2328,2058,2005,2702,1142,1214,588,2189,1429,1169,3066,3059,1402,1376
CELE_F53G12.1,15891,12062,15972,15654,17817,15201,2145,24027,16799,16471,21913,17732,12359,16890,18682,19499,4999,15719,20613,17065,15990,17130,24217,21781
CELE_F53G12.16,0,0,12,12,0,0,0,0,0,8,24,32,0,2,10,16,0,0,9,12,0,0,43,48
CELE_F53G12.15,0,0,12,6,0,0,0,0,0,8,24,23,0,2,5,16,0,0,5,12,0,0,25,41
CELE_F53G12.10,221750,189096,174390,174367,196024,182438,41885,231230,167616,165413,177805,171404,166712,186233,183223,206108,62609,211363,203153,180895,174254,211940,200420,179380
CELE_F53G12.17,0,0,0,9,30,16,0,16,14,0,0,0,8,0,3,2,6,1,8,0,18,0,8,0
CELE_F53G12.12,0,0,0,0,30,16,0,16,14,0,0,0,8,0,3,2,6,1,8,0,18,0,8,0
CELE_F53G12.9,535,614,449,549,497,355,198,325,513,465,440,358,668,534,559,655,160,630,494,408,383,547,485,332
CELE_F53G12.8,20,0,0,0,22,6,8,12,13,10,29,0,0,30,30,2,14,0,21,0,0,44,97,52
CELE_F53G12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7
CELE_F53G12.7,14,5,59,4,6,16,6,12,33,26,18,26,4,31,18,0,14,78,45,4,15,23,8,27
CELE_F53G12.6,2,1,14,0,12,7,0,2,7,0,0,0,18,0,3,0,0,0,1,0,0,5,0,5
CELE_F53G12.5,1460,1217,1309,1215,1601,1483,52,1286,1258,1289,1853,1488,641,1256,736,794,373,1342,1386,880,1175,1233,1418,1008
CELE_F53G12.4,68,28,16,12,10,41,10,25,26,24,36,40,12,44,24,42,4,10,34,50,4,42,0,16
CELE_F53G12.3,0,0,21,1,2,0,0,4,41,29,8,0,0,2,0,0,30,45,24,0,10,0,0,0
CELE_F53G12.18,39,43,47,20,30,53,1,38,21,47,37,12,38,36,26,23,22,76,22,8,92,15,36,5
CELE_F56C11.1,1824,1804,1392,1177,2091,1515,30,605,1710,2276,1216,1124,1158,1604,981,980,599,2522,1219,865,1751,1533,1538,1652
CELE_F56C11.2,1385,1095,619,627,2746,2164,56,834,1363,1362,703,771,881,1301,489,403,440,1634,591,556,1966,1985,824,992
CELE_F56C11.6,2192,1873,2706,2454,2211,1916,477,2162,1382,1286,2151,1495,1236,1353,1974,1895,576,1759,3056,2277,1721,2019,2819,2404
CELE_F56C11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0
CELE_F56C11.5,356,213,256,257,213,292,63,413,411,297,403,286,376,559,277,445,96,338,399,224,465,449,409,355
CELE_F56C11.3,451,249,338,206,423,291,79,324,245,334,432,374,361,426,258,629,128,252,424,302,407,317,383,309
CELE_Y48G1BL.2,956,528,738,624,1720,1301,18,612,1097,1186,1202,985,887,1450,546,500,309,953,660,515,1372,1413,463,668
CELE_F56C11.T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE_Y48G1BL.7,51,62,33,32,91,67,0,50,70,83,35,22,36,55,36,18,47,87,12,72,102,136,50,26
CELE_Y48G1BL.3,164,72,81,80,89,164,0,140,169,212,217,183,124,270,18,38,47,110,81,42,252,241,16,18
CELE_Y48G1BL.1,87,23,62,54,120,80,10,62,154,91,89,142,118,114,101,76,16,81,72,38,125,160,125,6
CELE_Y48G1BL.8,20,14,22,1,33,6,10,3,25,40,4,6,31,23,20,12,3,5,34,16,44,26,23,74
CELE_Y48G1BL.5,107,120,70,89,108,105,0,52,61,65,72,91,59,104,98,71,22,54,47,30,35,38,47,32
CELE_Y48G1BM.10,67,55,14,47,64,43,0,0,66,109,90,36,35,135,32,30,46,77,51,14,89,114,10,64
CELE_Y48G1BM.6,192,147,20,81,142,99,0,20,128,156,165,48,57,174,46,76,64,216,131,112,129,140,105,132
CELE_Y48G1BM.7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CELE_Y48G1BM.2,10,0,1,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CELE_Y48G1BM.8,44,7,78,38,12,24,8,32,34,44,9,46,10,56,10,22,6,56,70,42,30,56,18,6
CELE_Y48G1BM.1,185,139,217,136,191,259,59,171,163,182,141,139,198,268,214,189,34,190,184,161,194,240,185,130
CELE_Y48G1BR.1,1487,1139,1400,1515,1859,1535,95,1835,1067,1089,1241,1306,1144,1646,1874,1760,424,1022,2267,1896,1547,1702,2025,2234
CELE_T13E5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE_C53D5.8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE_C53D5.7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE_C53D5.2,317,209,400,285,209,216,28,245,241,261,284,221,206,217,130,259,81,201,431,227,232,247,296,280
CELE_C53D5.4,372,355,521,397,352,476,22,311,396,391,491,426,249,467,376,380,134,716,495,296,465,462,397,356
CELE_C53D5.1,922,756,548,659,1069,912,36,470,718,904,660,443,562,843,702,577,229,940,950,745,915,720,762,556
CELE_C53D5.5,1626,1100,620,384,1300,1148,44,695,1803,1689,858,772,996,1467,432,684,617,1726,597,673,1245,1456,624,520
CELE_C53D5.6,7707,5575,8311,7210,10445,9253,808,8657,5631,6272,9700,7415,5420,7540,4790,5642,1795,6233,4870,4677,8893,9749,4031,4511
CELE_Y48G1A.7,136,100,100,100,174,114,18,21,114,86,107,135,88,176,92,73,28,111,168,192,135,93,195,154
CELE_Y48G1A.5,2107,1358,1385,970,2602,2453,75,2363,2237,2014,2157,1661,1742,2674,839,1200,620,2550,1349,1094,2446,2503,1197,1335
CELE_Y48G1A.4,1800,1208,1412,1028,1944,1654,131,767,1240,1358,1375,1091,1858,1868,1399,832,523,1453,1223,941,1778,2196,1096,1391
CELE_Y48G1A.3,659,518,472,571,624,514,28,453,660,504,511,405,491,731,596,712,169,530,709,554,820,669,592,602
CELE_Y48G1A.6,423,225,143,185,197,322,17,180,222,281,189,73,287,357,271,391,86,366,191,122,300,337,150,197
CELE_Y48G1A.2,144,232,192,242,80,182,4,114,134,185,145,156,87,184,151,121,38,242,203,214,91,88,180,171
