target,contrast,log2fc_mean,log2fc_sem,n_runs,n_wells_total,p_value,runs,padj_BH
ceh-74,geno_trt,0.0859617237427672,,1,6,,qPCR_-_Treated_vs__Untreated__1_,
fbxa-128,geno_trt,1.0332363890404337,,1,6,,qPCR_030325__1_,
fbxa-79,geno_trt,0.737545522643367,0.2630238975026345,2,15,0.2180808832068311,qPCR_030325__1_;qPCR_4_6_26,0.5088553941492726
nhr-58,geno_trt,0.5529557327311407,0.3429427795556095,2,12,0.3534129116369733,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,0.5872016542166348
oac-7,geno_trt,0.4373960163650846,0.545063378200393,4,25,0.4809678486422847,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_,0.6733549880991987
t22f3.11,geno_trt,-0.1242122407983738,0.4579616112950501,3,18,0.8116452809422157,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_,0.8906953444864728
ugt-29,geno_trt,0.1910601922169629,0.7449602417500722,2,13,0.8401708480055758,qPCR_030325__1_;qPCR_4_6_26,0.8906953444864728
ugt-31,geno_trt,0.8733098280763123,0.3168888574352572,5,33,0.0510647286530523,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31;qPCR_-_Treated_vs__Untreated__1_;qPCR_030325__1_;qPCR_4_6_26,0.2910046623477865
zip-2,geno_trt,1.483995111139799,,1,6,,qPCR_-_Treated_vs__Untreated__1_,
ceh-74,geno_unt,4.210174661803778,1.0383067125095762,3,18,0.055780420490206,qPCR_-_Treated_vs__Untreated__1_;qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3;qPCR_Results_-_RB2060_vs__N2,0.2910046623477865
cest-34,geno_unt,3.7919886382245367,,1,6,,qPCR_Results_-_RB2060_vs__N2,
daf-16,geno_unt,-3.583858845012827,,1,6,,qPCR_Results_-_RB2060_vs__N2,
fbxa-128,geno_unt,5.014195627815137,3.2602135655447,2,12,0.3670198944031074,qPCR_030325__1_;qPCR_Results_-_RB2060_vs__N2,0.5872016542166348
fbxa-79,geno_unt,1.1762063586172102,0.1567442229410077,2,15,0.0843406319442498,qPCR_030325__1_;qPCR_4_6_26,0.2951922118048743
nhr-58,geno_unt,-0.0686738201723686,0.3960367657466657,2,12,0.8906953444864729,Fw__qPCR_-_022026;qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,0.8906953444864728
