run,target,contrast,ddcq,log2fc,n_num,n_den
Fw__qPCR_-_022026,nhr-58,treat_N2,0.5169951107792023,-0.5169951107792023,3,3
Fw__qPCR_-_022026,nhr-58,geno_unt,-0.327362945574297,0.327362945574297,3,3
Fw__qPCR_-_022026,nhr-58,geno_trt,-0.8958985122867502,0.8958985122867502,3,3
Fw__qPCR_-_022026,oac-7,treat_N2,-2.0738692588694736,2.0738692588694736,4,3
Fw__qPCR_-_022026,oac-7,geno_unt,-1.0852364259137977,1.0852364259137977,3,3
Fw__qPCR_-_022026,oac-7,geno_trt,-1.9111433851525736,1.9111433851525736,3,4
Fw__qPCR_-_022026,t22f3.11,treat_N2,1.7891748667708534,-1.7891748667708534,3,2
Fw__qPCR_-_022026,t22f3.11,geno_unt,0.240221963892953,-0.240221963892953,3,2
Fw__qPCR_-_022026,t22f3.11,geno_trt,-0.378459818748615,0.378459818748615,3,3
Fw__qPCR_-_022026,ugt-31,treat_N2,-2.246609055708582,2.246609055708582,3,4
Fw__qPCR_-_022026,ugt-31,geno_unt,5.0361967523476,-5.0361967523476,2,4
Fw__qPCR_-_022026,ugt-31,geno_trt,-1.808835251376084,1.808835251376084,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,nhr-58,treat_N2,-2.047782978091565,2.047782978091565,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,nhr-58,geno_unt,0.4647105859190343,-0.4647105859190343,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,nhr-58,geno_trt,-0.2100129531755312,0.2100129531755312,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,oac-7,treat_N2,-3.573739608143331,3.573739608143331,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,oac-7,geno_unt,0.0431967690528356,-0.0431967690528356,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,oac-7,geno_trt,0.6454093624634689,-0.6454093624634689,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,t22f3.11,treat_N2,-0.6071631242638986,0.6071631242638986,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,t22f3.11,geno_unt,0.2277223171593689,-0.2277223171593689,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,t22f3.11,geno_trt,1.0386297984950694,-1.0386297984950694,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,ugt-31,treat_N2,-1.8942821565396624,1.8942821565396624,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,ugt-31,geno_unt,-0.2986936741943937,0.2986936741943937,3,3
qPCR_-1_31_2026_-_tba-1__t22f3_1__oac-7__nhr-58__ugt-31,ugt-31,geno_trt,-0.844223483885032,0.844223483885032,3,3
qPCR_-_Treated_vs__Untreated__1_,ceh-74,treat_N2,2.202153514042965,-2.202153514042965,3,3
qPCR_-_Treated_vs__Untreated__1_,ceh-74,geno_unt,-2.9342494162271,2.9342494162271,3,3
qPCR_-_Treated_vs__Untreated__1_,ceh-74,geno_trt,-0.0859617237427672,0.0859617237427672,3,3
qPCR_-_Treated_vs__Untreated__1_,oac-7,treat_N2,-1.0917095622187682,1.0917095622187682,3,3
qPCR_-_Treated_vs__Untreated__1_,oac-7,geno_unt,-3.338545274013532,3.338545274013532,3,3
qPCR_-_Treated_vs__Untreated__1_,oac-7,geno_trt,-0.5105441010114653,0.5105441010114653,3,3
qPCR_-_Treated_vs__Untreated__1_,t22f3.11,treat_N2,3.7133470276535983,-3.7133470276535983,3,3
qPCR_-_Treated_vs__Untreated__1_,t22f3.11,geno_unt,8.539078466540516,-8.539078466540516,2,3
qPCR_-_Treated_vs__Untreated__1_,t22f3.11,geno_trt,-0.2875332573513329,0.2875332573513329,3,3
qPCR_-_Treated_vs__Untreated__1_,ugt-31,treat_N2,-2.3409467460690703,2.3409467460690703,3,3
qPCR_-_Treated_vs__Untreated__1_,ugt-31,geno_unt,-5.202991725749267,5.202991725749267,3,3
qPCR_-_Treated_vs__Untreated__1_,ugt-31,geno_trt,-0.070053891648163,0.070053891648163,3,3
qPCR_-_Treated_vs__Untreated__1_,zip-2,treat_N2,0.0345970004076314,-0.0345970004076314,3,3
qPCR_-_Treated_vs__Untreated__1_,zip-2,geno_unt,0.8715702490655663,-0.8715702490655663,3,3
qPCR_-_Treated_vs__Untreated__1_,zip-2,geno_trt,-1.483995111139799,1.483995111139799,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,ceh-74,geno_unt,-3.429245617303033,3.429245617303033,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,oac-7,geno_unt,-3.758705337883198,3.758705337883198,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,pals-24,geno_unt,-1.6652546502901648,1.6652546502901648,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,t22f3.11,geno_unt,8.37366537762987,-8.37366537762987,3,3
qPCR_-_tba-1__oac-7__ceh-74__zip-2__pals-24__t22f3_3,zip-2,geno_unt,0.3693546340610016,-0.3693546340610016,3,3
qPCR_030325__1_,fbxa-128,treat_N2,-0.8795106962009669,0.8795106962009669,3,3
qPCR_030325__1_,fbxa-128,geno_unt,-1.753982062270436,1.753982062270436,3,3
qPCR_030325__1_,fbxa-128,geno_trt,-1.0332363890404337,1.0332363890404337,3,3
qPCR_030325__1_,fbxa-79,treat_N2,-1.3878991640291003,1.3878991640291003,3,3
qPCR_030325__1_,fbxa-79,geno_unt,-1.0194621356762026,1.0194621356762026,3,3
qPCR_030325__1_,fbxa-79,geno_trt,-1.0005694201460016,1.0005694201460016,3,3
qPCR_030325__1_,oac-7,treat_N2,0.1055231870993345,-0.1055231870993345,3,3
qPCR_030325__1_,oac-7,geno_unt,-0.9401642227145016,0.9401642227145016,3,3
qPCR_030325__1_,oac-7,geno_trt,0.0266940582402313,-0.0266940582402313,3,3
qPCR_030325__1_,ugt-29,treat_N2,-3.7729447453476994,3.7729447453476994,3,3
qPCR_030325__1_,ugt-29,geno_unt,-1.2001490199411684,1.2001490199411684,3,3
qPCR_030325__1_,ugt-29,geno_trt,-0.9360204339670352,0.9360204339670352,3,3
qPCR_030325__1_,ugt-31,treat_N2,-2.993768524597468,2.993768524597468,3,3
qPCR_030325__1_,ugt-31,geno_unt,-1.4212981137229006,1.4212981137229006,3,3
qPCR_030325__1_,ugt-31,geno_trt,-0.3309160326172673,0.3309160326172673,3,3
qPCR_4_6_26,fbxa-79,treat_N2,-2.161285486132904,2.161285486132904,3,3
qPCR_4_6_26,fbxa-79,geno_unt,-1.332950581558218,1.332950581558218,6,3
qPCR_4_6_26,fbxa-79,geno_trt,-0.4745216251407325,0.4745216251407325,6,3
qPCR_4_6_26,ugt-29,treat_N2,-4.237827637615704,4.237827637615704,3,3
qPCR_4_6_26,ugt-29,geno_unt,-3.25866319652496,3.25866319652496,4,3
qPCR_4_6_26,ugt-29,geno_trt,0.5539000495331092,-0.5539000495331092,4,3
qPCR_4_6_26,ugt-31,treat_N2,-2.59935742754097,2.59935742754097,3,3
qPCR_4_6_26,ugt-31,geno_unt,-1.84569971905996,1.84569971905996,4,3
qPCR_4_6_26,ugt-31,geno_trt,-1.3125204808550164,1.3125204808550164,6,3
qPCR_Results_-_RB2060_vs__N2,ceh-74,geno_unt,-6.267028951881203,6.267028951881203,3,3
qPCR_Results_-_RB2060_vs__N2,cest-34,geno_unt,-3.7919886382245367,3.7919886382245367,3,3
qPCR_Results_-_RB2060_vs__N2,daf-16,geno_unt,3.583858845012827,-3.583858845012827,3,3
qPCR_Results_-_RB2060_vs__N2,fbxa-128,geno_unt,-8.274409193359837,8.274409193359837,3,3
qPCR_Results_-_RB2060_vs__N2,zip-2,geno_unt,-1.5919011060063375,1.5919011060063375,3,3
