Your Input,Sequence Name,UniProt,,,,,,,,,,,,,,,,,,,,,,
WBGene00000001,Y110A7A.10,G5EDP9,,,,,,,,,,,,,,,,,,,,,,
WBGene00000002,F27C8.1,Q19834,,,,,,,,,,,,,,,,,,,,,,
WBGene00000003,F07C3.7,Q19151,,,,,,,,,,,,,,,,,,,,,,
WBGene00000004,F52H2.2,O17395, A0A0K3AVL7,,,,,,,,,,,,,,,,,,,,,
WBGene00000005,T13A10.10,Q7YXH5,,,,,,,,,,,,,,,,,,,,,,
WBGene00000006,C55C2.5,H2KZG9,,,,,,,,,,,,,,,,,,,,,,
WBGene00000007,T11F9.4,Q22397,,,,,,,,,,,,,,,,,,,,,,
WBGene00000008,F54D12.3,O44832,,,,,,,,,,,,,,,,,,,,,,
WBGene00000009,F28F9.4,Q94197,,,,,,,,,,,,,,,,,,,,,,
WBGene00000010,Y53H1C.1,Q56VY0, Q9NA91,,,,,,,,,,,,,,,,,,,,,
WBGene00000011,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,,,
WBGene00000012,C50F2.9,G5EGC4,,,,,,,,,,,,,,,,,,,,,,
WBGene00000013,C50F2.10,G5EC68,,,,,,,,,,,,,,,,,,,,,,
WBGene00000014,F54B8.5,O45563,,,,,,,,,,,,,,,,,,,,,,
WBGene00000015,Y38H6C.22,Q9XX40,,,,,,,,,,,,,,,,,,,,,,
WBGene00000016,T22H6.5,G5EFQ2,,,,,,,,,,,,,,,,,,,,,,
WBGene00000017,T22H6.7,G5EBS3,,,,,,,,,,,,,,,,,,,,,,
WBGene00000018,M79.1,P03949, A0A8S4QC30, A0A8S4QGR5, A0A5E4LZH0, A0A5E4LZL8, A0A8S4QCL3,,,,,,,,,,,,,,,,,
WBGene00000019,C24F3.5,S6EZS3, S6FN28,,,,,,,,,,,,,,,,,,,,,
WBGene00000020,F12B6.1,Q1RS86, X5LXB2,,,,,,,,,,,,,,,,,,,,,
WBGene00000021,F55G11.9,N.A.,,,,,,,,,,,,,,,,,,,,,,
WBGene00000022,Y39D8C.1,Q9TXV8,,,,,,,,,,,,,,,,,,,,,,
WBGene00000023,Y53C10A.9,Q9XW49,,,,,,,,,,,,,,,,,,,,,,
WBGene00000024,AC3.3,Q17400,,,,,,,,,,,,,,,,,,,,,,
WBGene00000025,F19G12.7,Q19594,,,,,,,,,,,,,,,,,,,,,,
WBGene00000026,F31A3.1,N.A.,,,,,,,,,,,,,,,,,,,,,,
WBGene00000027,Y5H2A.3,Q86S74,,,,,,,,,,,,,,,,,,,,,,
WBGene00000028,Y105C5A.4,Q9NF70,,,,,,,,,,,,,,,,,,,,,,
WBGene00000029,C03A7.7,O16501,,,,,,,,,,,,,,,,,,,,,,
WBGene00000030,C03A7.8,O16502,,,,,,,,,,,,,,,,,,,,,,
WBGene00000031,C03A7.14,O16511,,,,,,,,,,,,,,,,,,,,,,
WBGene00000032,R09F10.2,G5EGB7,,,,,,,,,,,,,,,,,,,,,,
WBGene00000033,F35A5.3,Q20002,,,,,,,,,,,,,,,,,,,,,,
WBGene00000034,T01D1.6,P91419,,,,,,,,,,,,,,,,,,,,,,
WBGene00000035,W09B12.1,P38433,,,,,,,,,,,,,,,,,,,,,,
WBGene00000036,Y44E3A.2,G5EDV9,,,,,,,,,,,,,,,,,,,,,,
WBGene00000037,Y48B6A.8,Q9U295,,,,,,,,,,,,,,,,,,,,,,
WBGene00000038,Y48B6A.7,G5EDN1,,,,,,,,,,,,,,,,,,,,,,
WBGene00000039,C42D8.5,Q18581,,,,,,,,,,,,,,,,,,,,,,
WBGene00000040,ZK455.1,Q23500,,,,,,,,,,,,,,,,,,,,,,
WBGene00000041,F54H12.1,P34455,,,,,,,,,,,,,,,,,,,,,,
WBGene00000042,K11G12.2,P48182,,,,,,,,,,,,,,,,,,,,,,
WBGene00000043,K11G12.7,Q93149,,,,,,,,,,,,,,,,,,,,,,
WBGene00000044,K03F8.2,P54246,,,,,,,,,,,,,,,,,,,,,,
WBGene00000045,ZK973.5,Q9N4M3,,,,,,,,,,,,,,,,,,,,,,
WBGene00000046,T09A5.3,P45963,,,,,,,,,,,,,,,,,,,,,,
WBGene00000047,ZC504.2,Q23355,,,,,,,,,,,,,,,,,,,,,,
WBGene00000048,C40C9.2,Q18556,,,,,,,,,,,,,,,,,,,,,,
WBGene00000049,R02E12.8,Q21645,,,,,,,,,,,,,,,,,,,,,,
WBGene00000050,D2092.3,P91197,,,,,,,,,,,,,,,,,,,,,,
WBGene00000051,R01E6.4,A0A0K3ATC5, G5EDF1,,,,,,,,,,,,,,,,,,,,,
WBGene00000053,T05C12.2,Q22224,,,,,,,,,,,,,,,,,,,,,,
WBGene00000054,F25G6.4,O16926,,,,,,,,,,,,,,,,,,,,,,
WBGene00000055,F25G6.3,P48180,,,,,,,,,,,,,,,,,,,,,,
WBGene00000056,F53E10.2,A0A0M7RDU0, A0A0M7RFG1, A0A0M7REC3, Q6F6K3,,,,,,,,,,,,,,,,,,,
WBGene00000057,F28F8.1,G5EG72,,,,,,,,,,,,,,,,,,,,,,
WBGene00000058,C31H5.3,B3WFZ2, G5EGB5,,,,,,,,,,,,,,,,,,,,,
WBGene00000059,R06A4.10,B1Q281, Q7JKI4, Q9U398,,,,,,,,,,,,,,,,,,,,
WBGene00000060,F27B3.2,A0A3P6N6F5, A0A3P6NP92, A0A3P6P985, A0A3P6MY71,,,,,,,,,,,,,,,,,,,
WBGene00000061,F48E3.7,G5EGR1,,,,,,,,,,,,,,,,,,,,,,
WBGene00000062,F59B1.9,G5EG88, A0A168H5T6,,,,,,,,,,,,,,,,,,,,,
WBGene00000063,T04C12.6,P0DM41,,,,,,,,,,,,,,,,,,,,,,
WBGene00000064,T04C12.5,P10984,,,,,,,,,,,,,,,,,,,,,,
WBGene00000065,T04C12.4,P0DM42,,,,,,,,,,,,,,,,,,,,,,
WBGene00000066,M03F4.2,P10986, Q95ZL1,,,,,,,,,,,,,,,,,,,,,
WBGene00000067,T25C8.2,O45815,,,,,,,,,,,,,,,,,,,,,,
WBGene00000068,F17C8.1,Q19523,,,,,,,,,,,,,,,,,,,,,,
WBGene00000069,C10F3.3,O16880,,,,,,,,,,,,,,,,,,,,,,
WBGene00000070,C44F1.5,G5EE33,,,,,,,,,,,,,,,,,,,,,,
WBGene00000071,T01C2.1,Q966F9,,,,,,,,,,,,,,,,,,,,,,
WBGene00000072,F39C12.2,Q9U9K0, G8JYB0,,,,,,,,,,,,,,,,,,,,,
WBGene00000073,F57F5.4,Q20952, Q1ZXU2,,,,,,,,,,,,,,,,,,,,,
WBGene00000074,C04A11.4,G5EDW5,,,,,,,,,,,,,,,,,,,,,,
WBGene00000075,ZK154.7,Q94316,,,,,,,,,,,,,,,,,,,,,,
WBGene00000076,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,,,
WBGene00000077,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,,,
WBGene00000078,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,,,
WBGene00000079,H15N14.1,Q9U3D6,,,,,,,,,,,,,,,,,,,,,,
WBGene00000080,T20H4.4,Q22618,,,,,,,,,,,,,,,,,,,,,,
WBGene00000081,Y50D7A.7,O45218,,,,,,,,,,,,,,,,,,,,,,
WBGene00000082,C02B4.1,G5ECS8, Q22580,,,,,,,,,,,,,,,,,,,,,
WBGene00000083,F08C6.1,Q19204, Q7Z291, Q7Z292,,,,,,,,,,,,,,,,,,,,
WBGene00000084,D2030.10,G5EEU3, G5ECE1,,,,,,,,,,,,,,,,,,,,,
WBGene00000085,T14B1.2,G5ECD9,,,,,,,,,,,,,,,,,,,,,,
WBGene00000086,C02H7.3,O02626,,,,,,,,,,,,,,,,,,,,,,
WBGene00000088,F32A7.6,P91863,,,,,,,,,,,,,,,,,,,,,,
WBGene00000089,Y87G2A.4,G5EBS5,,,,,,,,,,,,,,,,,,,,,,
WBGene00000090,B0334.8,Q94125,,,,,,,,,,,,,,,,,,,,,,
WBGene00000091,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,,,
WBGene00000092,F32A6.4,A0A131MD77, A0A131MBA1, A0A131MBC1, A0A131MBW5, Q19955,,,,,,,,,,,,,,,,,,
WBGene00000093,Y62E10A.5,Q9U1Y0, Q2HQK2,,,,,,,,,,,,,,,,,,,,,
WBGene00000094,F09E5.13,Q19263,,,,,,,,,,,,,,,,,,,,,,
WBGene00000095,C25A1.11,O02219,,,,,,,,,,,,,,,,,,,,,,
WBGene00000096,C41G7.5,O44712,,,,,,,,,,,,,,,,,,,,,,
WBGene00000097,F58E10.4,Q9XUW8,,,,,,,,,,,,,,,,,,,,,,
WBGene00000098,K07C11.2,G5EDL3,,,,,,,,,,,,,,,,,,,,,,
WBGene00000099,B0207.4,O01427,,,,,,,,,,,,,,,,,,,,,,
WBGene00000100,C25A11.4,A0A1C3NSL9, H2KYC5, Q95ZY7,,,,,,,,,,,,,,,,,,,,
WBGene00000101,D1022.7,Q8MQ92, H2KZI9, Q18930,,,,,,,,,,,,,,,,,,,,
WBGene00000102,C12D8.10,Q17941,,,,,,,,,,,,,,,,,,,,,,
WBGene00000103,F28H6.1,Q9XTG7,,,,,,,,,,,,,,,,,,,,,,
WBGene00000104,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,,,
