"from","to"
"cel00010","CELE_C01B4.6"
"cel00010","CELE_C04C3.3"
"cel00010","CELE_C30H6.7"
"cel00010","CELE_C36A4.9"
"cel00010","CELE_C50D2.7"
"cel00010","CELE_C50F4.2"
"cel00010","CELE_D2063.1"
"cel00010","CELE_F01F1.12"
"cel00010","CELE_F01F1.6"
"cel00010","CELE_F13D12.2"
"cel00010","CELE_F14B4.2"
"cel00010","CELE_F23B12.5"
"cel00010","CELE_F25H5.3"
"cel00010","CELE_F33H1.2"
"cel00010","CELE_F42G9.5"
"cel00010","CELE_F54D8.3"
"cel00010","CELE_F57B10.3"
"cel00010","CELE_H24K24.3"
"cel00010","CELE_K04F1.15"
"cel00010","CELE_K07A3.1"
"cel00010","CELE_K10B3.7"
"cel00010","CELE_K10B3.8"
"cel00010","CELE_K12G11.3"
"cel00010","CELE_K12G11.4"
"cel00010","CELE_LLC1.3"
"cel00010","CELE_R05F9.6"
"cel00010","CELE_R11A5.4"
"cel00010","CELE_T03F1.3"
"cel00010","CELE_T05D4.1"
"cel00010","CELE_T05H10.6"
"cel00010","CELE_T05H4.13"
"cel00010","CELE_T08B1.3"
"cel00010","CELE_T09F3.3"
"cel00010","CELE_T21B10.2"
"cel00010","CELE_W05G11.6"
"cel00010","CELE_Y17G7B.7"
"cel00010","CELE_Y19D10A.16"
"cel00010","CELE_Y43F4B.5"
"cel00010","CELE_Y69F12A.2"
"cel00010","CELE_Y71H10A.1"
"cel00010","CELE_Y87G2A.8"
"cel00010","CELE_ZK593.1"
"cel00020","CELE_B0365.1"
"cel00020","CELE_C03G5.1"
"cel00020","CELE_C04C3.3"
"cel00020","CELE_C05G5.4"
"cel00020","CELE_C30F12.7"
"cel00020","CELE_C30H6.7"
"cel00020","CELE_C34B2.7"
"cel00020","CELE_C34F6.8"
"cel00020","CELE_C37E2.1"
"cel00020","CELE_C50F7.4"
"cel00020","CELE_D1005.1"
"cel00020","CELE_D2023.2"
"cel00020","CELE_F20H11.3"
"cel00020","CELE_F23B12.5"
"cel00020","CELE_F23H11.3"
"cel00020","CELE_F33A8.5"
"cel00020","CELE_F35G12.2"
"cel00020","CELE_F42A8.2"
"cel00020","CELE_F43G9.1"
"cel00020","CELE_F46E10.10"
"cel00020","CELE_F47B10.1"
"cel00020","CELE_F54H12.1"
"cel00020","CELE_F59B8.2"
"cel00020","CELE_H14A12.2"
