"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y74C9A.3",689.506291365405,-0.121309771287831,0.205715431063864,0.404706260426356,0.686482849420601,"Y74C9A.3"
"Y74C9A.2",4962.59592199988,0.0577682409255147,0.172083523982708,0.670265354350112,0.855026016428972,"Y74C9A.2"
"Y74C9A.4",910.174817566004,-0.0262684227281568,0.182480260333878,0.847991201945286,0.939218220679656,"Y74C9A.4"
"Y74C9A.5",784.143664153675,-0.17524271437522,0.319962254692551,0.149224339369843,0.446129197207936,"Y74C9A.5"
"Y74C9A.1",16.9962386152939,-0.0583741708266015,0.285087213115946,0.260360541138019,0.567123496538551,"Y74C9A.1"
"Y48G1C.12",277.64895104496,0.15531118096854,0.226955758461444,0.312328481471123,0.616063279181359,"Y48G1C.12"
"Y48G1C.2",1102.85149446207,-0.196010436883401,0.258481400634819,0.209545932641589,0.521302821401114,"Y48G1C.2"
"Y48G1C.10",494.001846778555,-0.0909221643856359,0.269121417974644,0.429180113062651,0.704246445021565,"Y48G1C.10"
"Y48G1C.6",291.373697823044,-0.108823795683646,0.249014744522586,0.425563555213028,0.701985852229786,"Y48G1C.6"
"Y48G1C.9",603.951043251091,0.117062388872119,0.257114403513368,0.383517644597121,0.673386292558288,"Y48G1C.9"
"Y48G1C.1",351.861502423549,0.075138393227186,0.208832879900152,0.590634557401997,0.808854675281828,"Y48G1C.1"
"Y48G1C.13",11.0229367660322,0.0585357742049748,0.285255505871936,0.198676988049446,0.509172472433403,"Y48G1C.13"
"Y48G1C.8",1687.75377470955,0.248890920287621,0.225476523563733,0.11873042176116,0.408405079207472,"Y48G1C.8"
"F53G12.1",15106.7185367035,0.212333564430187,0.165790240846582,0.118796098576413,0.408512410949069,"F53G12.1"
"F53G12.10",174067.526741315,0.260185058460346,0.230808541052854,0.105480236420452,0.386297803709144,"F53G12.10"
"F53G12.9",513.684622439562,0.263397255190832,0.384839714175492,0.0733946876771155,0.335432906016243,"F53G12.9"
"F53G12.8",13.5106147790981,-0.0173788279983203,0.280006663977904,0.456725851595936,0.72292283974676,"F53G12.8"
"F53G12.7",17.9378206270631,0.0870818331233112,0.295997681142055,0.0898303410036912,0.363059188572217,"F53G12.7"
"F53G12.6",3.43114085894502,0.0213740322458455,0.28099399124666,0.257048103234857,NA,"F53G12.6"
"F53G12.5",1028.53898081512,-0.0596098109011185,0.228406134212568,0.665195405593359,0.852169249327709,"F53G12.5"
"F53G12.4",29.3511251866795,-0.040770435750542,0.274784289178412,0.559535390392839,0.786908898190737,"F53G12.4"
"F53G12.3",5.70503674777331,0.0500449087806022,0.286666085828778,0.0160838931752392,0.178793746835445,"F53G12.3"
"F56C11.5",306.905001982936,0.448310563494698,0.455228449816924,0.0346164494369878,0.250767798250946,"F56C11.5"
"F56C11.3",329.091668186324,0.0104818000596882,0.244546982310868,0.934068986203921,0.974267908355814,"F56C11.3"
"Y48G1BL.2",751.158574413678,-0.0171887400268581,0.23275517644413,0.897277188965592,0.95954649302791,"Y48G1BL.2"
"Y48G1BL.8",19.195723135615,0.0950858558335847,0.298761809839686,0.0891858087816234,0.362348748256356,"Y48G1BL.8"
"Y48G1BM.1",182.212715350063,0.37648515213133,0.43258812974987,0.0521763348452569,0.293871102487136,"Y48G1BM.1"
