"TF_name","a","b","c","d","odds_ratio","p_value","padj_BH"
"zip-2",27,51,63,2130,17.828086684861,3.44020043983524e-20,5.16030065975286e-19
"cebp-1",24,247,66,1934,2.84541649507882,7.33383258146328e-05,0.000550037443609746
"fos-1",56,1034,34,1147,1.82655764852447,0.00397026447940158,0.0198513223970079
"nhr-77",40,711,50,1470,1.6536555718624,0.0142911809882798,0.0461000861375015
"pqm-1",56,1092,34,1089,1.64216996421674,0.0153666953791672,0.0461000861375015
"skn-1",27,485,63,1696,1.49837991017689,0.0582017449872301,0.145504362468075
"unc-62",30,567,60,1614,1.42304258925587,0.0790335736163945,0.165634860347211
"ceh-60",53,1121,37,1060,1.3543020480047,0.0989787223909349,0.165634860347211
"sma-9",34,671,56,1510,1.36613229264414,0.0993809162083267,0.165634860347211
"sta-1",6,89,84,2092,1.67848974286188,0.171530450898381,0.257295676347572
"nhr-28",46,1010,44,1171,1.21199943363362,0.215380294035991,0.29370040095817
"elt-2",37,836,53,1345,1.12309944588772,0.33471181761393,0.418389772017412
"pha-4",43,1055,47,1126,0.976471172618273,0.585896499757876,0.676034422797549
"daf-16",49,1244,41,937,0.900227265885785,0.725160812309772,0.776958013189042
"blmp-1",19,767,71,1414,0.493479545456222,0.998496370711959,0.998496370711959
