"TF_name","total_targets","DE_targets","GxE_targets","GxE_pct","odds_ratio","p_value","padj_BH"
"daf-16",6143,1293,49,3.8,0.900227265885785,0.725160812309772,0.776958013189042
"ceh-60",4404,1174,53,4.5,1.3543020480047,0.0989787223909349,0.165634860347211
"pqm-1",4685,1148,56,4.9,1.64216996421674,0.0153666953791672,0.0461000861375015
"pha-4",5853,1098,43,3.9,0.976471172618273,0.585896499757876,0.676034422797549
"fos-1",4712,1090,56,5.1,1.82655764852447,0.00397026447940158,0.0198513223970079
"nhr-28",4353,1056,46,4.4,1.21199943363362,0.215380294035991,0.29370040095817
"elt-2",3485,873,37,4.2,1.12309944588772,0.33471181761393,0.418389772017412
"blmp-1",4651,786,19,2.4,0.493479545456222,0.998496370711959,0.998496370711959
"nhr-77",3791,751,40,5.3,1.6536555718624,0.0142911809882798,0.0461000861375015
"sma-9",3533,705,34,4.8,1.36613229264414,0.0993809162083267,0.165634860347211
"unc-62",2464,597,30,5,1.42304258925587,0.0790335736163945,0.165634860347211
"skn-1",2945,512,27,5.3,1.49837991017689,0.0582017449872301,0.145504362468075
"cebp-1",1012,271,24,8.9,2.84541649507882,7.33383258146328e-05,0.000550037443609746
"sta-1",306,95,6,6.3,1.67848974286188,0.171530450898381,0.257295676347572
"zip-2",235,78,27,34.6,17.828086684861,3.44020043983524e-20,5.16030065975286e-19
