"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y74C9A.3",689.506291365405,0.019549593314065,0.150236588076135,0.842071780735588,0.960565875551986,"Y74C9A.3"
"Y74C9A.2",4962.59592199988,0.0717608554945612,0.135897655654026,0.457539122216647,0.810151138344037,"Y74C9A.2"
"Y74C9A.4",910.174817566004,0.0198616523812869,0.141389410886649,0.837635141836126,0.958985008783187,"Y74C9A.4"
"Y74C9A.5",784.143664153675,-0.0503161814897493,0.221001609643723,0.570787949153548,0.867802247043046,"Y74C9A.5"
"Y74C9A.1",16.9962386152939,-0.0947203691605592,0.310593760334436,0.130995438453178,0.53692377958124,"Y74C9A.1"
"Y48G1C.12",277.64895104496,0.0214919228597574,0.158971892767836,0.827574759976342,0.958081997678521,"Y48G1C.12"
"Y48G1C.2",1102.85149446207,-0.0764733856604875,0.175871929340383,0.448334920813583,0.801985395589225,"Y48G1C.2"
"Y48G1C.10",494.001846778555,-0.147763065118379,0.255436409798671,0.143323310171754,0.55397752646007,"Y48G1C.10"
"Y48G1C.6",291.373697823044,-0.0163700084765016,0.183816061028573,0.865462928569616,0.966852090126554,"Y48G1C.6"
"Y48G1C.9",603.951043251091,0.0590588753107834,0.194174400789356,0.543888512149958,0.856115497442642,"Y48G1C.9"
"Y48G1C.1",351.861502423549,0.0535150904842325,0.161437708279298,0.591280442879722,0.877783767938663,"Y48G1C.1"
"Y48G1C.13",11.0229367660322,0.0447457835969692,0.277811103881585,0.431236974635111,0.792139354239233,"Y48G1C.13"
"Y48G1C.8",1687.75377470955,-0.170633321524888,0.166235858784193,0.110501813831426,0.500711871023786,"Y48G1C.8"
"F53G12.1",15106.7185367035,-0.14294879978186,0.128178394658264,0.135448930599428,0.544154202970107,"F53G12.1"
"F53G12.10",174067.526741315,0.126276483629894,0.158980553725904,0.220777890311449,0.647546686653023,"F53G12.10"
"F53G12.9",513.684622439562,0.15287888026564,0.249158387263153,0.139102782462524,0.549612873564335,"F53G12.9"
"F53G12.8",13.5106147790981,-0.0700677934417572,0.337685928204629,0.073900727696259,0.432572944798819,"F53G12.8"
"F53G12.7",17.9378206270631,0.0248613738749888,0.26939878490019,0.661615774542268,0.908396978030792,"F53G12.7"
"F53G12.6",3.43114085894502,0.0398454706650432,0.313316579367565,0.194994952382146,0.614666366602401,"F53G12.6"
"F53G12.5",1028.53898081512,-0.105374078132153,0.190783635349918,0.304939569896445,0.711018276120163,"F53G12.5"
"F53G12.4",29.3511251866795,-0.0535439083200241,0.257668912983634,0.460488451509198,0.810589854862456,"F53G12.4"
"F53G12.3",5.70503674777331,0.00752347098707151,0.288231854300483,0.830192334072637,0.958390569650848,"F53G12.3"
"F56C11.5",306.905001982936,-0.0023229848452839,0.186824066932605,0.980661529661393,0.994931361688399,"F56C11.5"
"F56C11.3",329.091668186324,-0.0501934768232595,0.203687162454658,0.594322842313636,0.87904300307958,"F56C11.3"
"Y48G1BL.2",751.158574413678,-0.271884244851052,0.268034629454605,0.030777522222707,0.299973810102612,"Y48G1BL.2"
"Y48G1BL.8",19.195723135615,0.0589155115875722,0.280910631454069,0.33217932154279,0.731749564954361,"Y48G1BL.8"
"Y48G1BM.1",182.212715350063,0.122213647279912,0.214333095710246,0.233557793000324,0.659863549578873,"Y48G1BM.1"
"Y48G1BR.1",1224.57495461027,0.0416541819113093,0.164051474620734,0.674698199102909,0.912923352634663,"Y48G1BR.1"
"C53D5.2",213.478208031046,0.178323487585546,0.210129632010986,0.108986685676944,0.498060761616202,"C53D5.2"
"C53D5.4",327.900131982468,-0.0489240710294503,0.168960303153106,0.622784451090908,0.891663601320397,"C53D5.4"
"C53D5.1",577.448276768008,-0.0321588526235024,0.158337010204274,0.744983907821228,0.934713195925322,"C53D5.1"
"C53D5.5",828.249212269341,-0.213923424603673,0.216601539539506,0.065287047670455,0.412193849604705,"C53D5.5"
"C53D5.6",6294.56438115708,0.0036184523737076,0.131097463802125,0.969494134924322,0.993299307344503,"C53D5.6"
"Y48G1A.5",1507.53153289718,-0.107658598413284,0.21221798248833,0.284140960865431,0.696247483667149,"Y48G1A.5"
"Y48G1A.4",1155.5613542506,0.0278330332841562,0.152111666566325,0.777305514179343,0.943236547457346,"Y48G1A.4"
"Y48G1A.3",458.330298384313,0.0194113140778451,0.159773563706848,0.844013414197615,0.960565875551986,"Y48G1A.3"
"Y48G1A.6",204.375797232641,0.0655402126403665,0.201096170886192,0.497475703281958,0.831982628993679,"Y48G1A.6"
"Y48G1A.2",126.901692202831,0.0663236991557628,0.219901752992735,0.469476058938198,0.814959668716372,"Y48G1A.2"
"Y48G1A.1",311.768224510158,-0.0167793957244805,0.176260543175259,0.863702518837767,0.966852090126554,"Y48G1A.1"
"R119.7",536.59111327906,-0.199164550736453,0.193122861289184,0.0773471918754935,0.436419386093855,"R119.7"
"R119.2",788.321913388991,0.0429427150494298,0.180224891680003,0.662155554478837,0.908518913521223,"R119.2"
"R119.3",2043.71225496715,-0.0210552410384464,0.160837408215551,0.83106176014132,0.958390569650848,"R119.3"
"R119.4",15951.7737217737,-0.146011121777713,0.141077330711401,0.14447833279075,0.55655489711574,"R119.4"
"R119.6",820.079600974405,0.0741122623089234,0.106889170176024,0.388528700332428,0.76698873210247,"R119.6"
"R119.5",751.862127311935,-0.0419381169091189,0.166942727659831,0.672521990420848,0.912333969220709,"R119.5"
"Y50C1A.1",1287.58698126049,-0.022862943326661,0.173146350259342,0.815936344500189,0.953297393812218,"Y50C1A.1"
"Y50C1A.2",80.9181505152425,0.0310462051394009,0.217699655528953,0.72310892889062,0.928607047262855,"Y50C1A.2"
"C07F11.1",1192.42906217769,-0.225420508000335,0.234285355717914,0.0563766466038701,0.389739291322153,"C07F11.1"
"W04C9.4",1162.98382952907,0.152188989701086,0.190163125078893,0.15814614099254,0.57429862660464,"W04C9.4"
"W04C9.3",4.0557321644428,0.0389266369302369,0.307078975968551,0.23758777901304,0.664039245838487,"W04C9.3"
"W04C9.6",12.9645371422278,-0.00903828781835283,0.281286538492239,0.832793934282251,0.958390569650848,"W04C9.6"
"W04C9.2",1779.11155766529,0.0250083965095463,0.179130523078091,0.797791445653626,0.949319085737266,"W04C9.2"
"W04C9.1",3540.83491846443,-0.198849479473851,0.173054033155385,0.0705436336456383,0.42447342916927,"W04C9.1"
"Y65B4BL.3",129.226846955985,-0.155276332935873,0.218574113792361,0.148946726903981,0.564627628407876,"Y65B4BL.3"
"Y65B4BL.4",132.63392036551,-0.111862376808759,0.250802769935774,0.226704661925077,0.654401936401646,"Y65B4BL.4"
"Y65B4BL.2",513.26608582255,-0.0540967973220265,0.175716426609251,0.586172401589682,0.875870359833233,"Y65B4BL.2"
"Y65B4BL.7",661.914680601743,-0.00747802276263747,0.177798677781842,0.93880306174729,0.986200756333115,"Y65B4BL.7"
"Y65B4BL.6",587.81335276145,0.366819154613432,0.308306498791202,0.0101446279258347,0.16053205445499,"Y65B4BL.6"
