"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y74C9A.3",689.506291365405,0.153425021701407,0.187068575973547,0.241792271265906,0.699672386195123,"Y74C9A.3"
"Y74C9A.2",4962.59592199988,0.0296738409385042,0.147504781015294,0.801630741797342,0.965832956731271,"Y74C9A.2"
"Y74C9A.4",910.174817566004,0.0518986329888669,0.158486182119776,0.667446809681563,0.936989667065184,"Y74C9A.4"
"Y74C9A.5",784.143664153675,0.106625777642327,0.247032191205132,0.269196340643524,0.724186177823054,"Y74C9A.5"
"Y74C9A.1",16.9962386152939,-0.00121155291197835,0.237471167337286,0.886490744764132,0.985657506042832,"Y74C9A.1"
"Y48G1C.12",277.64895104496,-0.122843515364159,0.191080504849792,0.33061169225486,0.779131674146472,"Y48G1C.12"
"Y48G1C.2",1102.85149446207,0.0862804888329274,0.196176150777928,0.48514452582601,0.864470484698799,"Y48G1C.2"
"Y48G1C.10",494.001846778555,-0.052085022288756,0.22420426507703,0.583964257573802,0.908635987247747,"Y48G1C.10"
"Y48G1C.6",291.373697823044,0.0926384660618076,0.213274794192136,0.447425894663398,0.843665958319025,"Y48G1C.6"
"Y48G1C.9",603.951043251091,-0.0428042900233695,0.206351110946374,0.688759673295116,0.942574654585089,"Y48G1C.9"
"Y48G1C.1",351.861502423549,-0.011638256711729,0.174831501594586,0.931433124824351,0.9908702341438,"Y48G1C.1"
"Y48G1C.13",11.0229367660322,-0.0294339433968968,0.240180840095192,0.47023630294037,0.857113127893533,"Y48G1C.13"
"Y48G1C.8",1687.75377470955,-0.623887136343647,0.229919797221071,0.000669890124397281,0.0214888959219861,"Y48G1C.8"
"F53G12.1",15106.7185367035,-0.443854460319694,0.158848577028465,0.000986378684581536,0.028133235525456,"F53G12.1"
"F53G12.10",174067.526741315,-0.0785380204253489,0.169006518820168,0.519026389907351,0.881404337515589,"F53G12.10"
"F53G12.9",513.684622439562,-0.0583567375343762,0.222261815782539,0.555744347806544,0.895195315312689,"F53G12.9"
"F53G12.8",13.5106147790981,-0.0248907414230112,0.24218234986105,0.279893061703942,0.735375335823957,"F53G12.8"
"F53G12.7",17.9378206270631,-0.0656622432783333,0.251331934708053,0.126151365630527,0.540745766470748,"F53G12.7"
"F53G12.6",3.43114085894502,0.00255230507530489,0.240972475279292,0.981433490393723,0.997614921711242,"F53G12.6"
"F53G12.5",1028.53898081512,-0.0665963625249726,0.199689524815785,0.600066344192412,0.915508991463128,"F53G12.5"
"F53G12.4",29.3511251866795,-0.00354947021156158,0.233120013428134,0.94856961908709,0.994212863166265,"F53G12.4"
"F53G12.3",5.70503674777331,-0.0338970343097212,0.24500489755761,0.0106678930695359,0.143132402227755,"F53G12.3"
"F56C11.5",306.905001982936,-0.537321631527554,0.430349479332066,0.0134753339805316,0.170455747423354,"F56C11.5"
"F56C11.3",329.091668186324,-0.0644322717877092,0.219028195234876,0.529956861250551,0.885872219755422,"F56C11.3"
"Y48G1BL.2",751.158574413678,-0.341733251026075,0.361068562939933,0.0443329224899108,0.33816740876025,"Y48G1BL.2"
"Y48G1BL.8",19.195723135615,-0.0468950622680465,0.243440558213873,0.325249294380696,0.775700417964061,"Y48G1BL.8"
"Y48G1BM.1",182.212715350063,-0.123483425408806,0.23316654086081,0.292176741078068,0.748349854253367,"Y48G1BM.1"
"Y48G1BR.1",1224.57495461027,0.0755408515301363,0.186027167701728,0.492437363440851,0.867303306867249,"Y48G1BR.1"
"C53D5.2",213.478208031046,-0.0684096688290714,0.198250555162587,0.58104078553607,0.906794705340498,"C53D5.2"
"C53D5.4",327.900131982468,-0.0597964768707076,0.188393375451207,0.623351018654181,0.92048106599719,"C53D5.4"
"C53D5.1",577.448276768008,0.0527214287496452,0.177144822222318,0.664110475677958,0.935848407758573,"C53D5.1"
"C53D5.5",828.249212269341,-0.445129833552102,0.320307890641804,0.01910290833247,0.207647189164877,"C53D5.5"
"C53D5.6",6294.56438115708,-0.10537131869878,0.152215237723627,0.377593859231488,0.808068535433077,"C53D5.6"
"Y48G1A.5",1507.53153289718,-0.290744417740087,0.355017692623034,0.059053099940312,0.389471822963887,"Y48G1A.5"
"Y48G1A.4",1155.5613542506,-0.0218288804710762,0.168518361673127,0.83049312248135,0.972932354484737,"Y48G1A.4"
"Y48G1A.3",458.330298384313,-0.00126004068634248,0.176218469563113,0.979226849505478,0.996980653205061,"Y48G1A.3"
"Y48G1A.6",204.375797232641,0.0790742544381311,0.217992341326714,0.481870879451456,0.863138820929851,"Y48G1A.6"
