"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y74C9A.3",689.506291365405,-0.152125651213423,0.218660675412175,0.464029364651898,0.677513573767504,"Y74C9A.3"
"Y74C9A.2",4962.59592199988,-0.444074298465223,0.181531004073318,0.0108824723775122,0.043786539380959,"Y74C9A.2"
"Y74C9A.4",910.174817566004,-0.339123326911894,0.199549933926795,0.0708463885035988,0.195167113046695,"Y74C9A.4"
"Y74C9A.5",784.143664153675,-0.389108058466701,0.456611356311436,0.275143070974477,0.498884829421138,"Y74C9A.5"
"Y74C9A.1",16.9962386152939,0.197015149693761,0.633776000791251,0.577047492262923,0.766378603910284,"Y74C9A.1"
"Y48G1C.12",277.64895104496,-0.62977225535776,0.24889621558346,0.00649555625089881,0.0283546747257533,"Y48G1C.12"
"Y48G1C.2",1102.85149446207,0.116958616034613,0.269241607141858,0.638852849585231,0.807670466265799,"Y48G1C.2"
"Y48G1C.10",494.001846778555,-0.145788678375424,0.411505549809484,0.655247765056683,0.815820930937493,"Y48G1C.10"
"Y48G1C.6",291.373697823044,-0.0178004501111883,0.312513304721915,0.950009344894809,0.976398493364109,"Y48G1C.6"
"Y48G1C.9",603.951043251091,-0.066309763108243,0.329922935794785,0.814606919107827,0.910242292872631,"Y48G1C.9"
"Y48G1C.1",351.861502423549,-0.470178486447762,0.246070573439139,0.0397639440025627,0.124721527914637,"Y48G1C.1"
"Y48G1C.13",11.0229367660322,-0.308573475876395,0.683274417566494,0.293321015870258,0.51969334969529,"Y48G1C.13"
"Y48G1C.8",1687.75377470955,0.0164325047390335,0.207791019323856,0.935867702051889,0.97008072027157,"Y48G1C.8"
"F53G12.1",15106.7185367035,0.232903810291297,0.152476995891826,0.117399277970227,0.282866109798413,"F53G12.1"
"F53G12.10",174067.526741315,-0.106957979205913,0.211489475048919,0.590068738410997,0.774895032654913,"F53G12.10"
"F53G12.9",513.684622439562,-0.408887969484667,0.415687243837048,0.220547365845778,0.436147395154052,"F53G12.9"
"F53G12.8",13.5106147790981,-0.121744366101503,0.673799143013796,0.471461810486047,0.683747470175724,"F53G12.8"
"F53G12.7",17.9378206270631,-0.090515393619173,0.611779831147901,0.747456598482751,0.870899361172821,"F53G12.7"
"F53G12.6",3.43114085894502,-0.101278413681149,0.693171900052639,0.358171595429989,0.583942556243246,"F53G12.6"
"F53G12.5",1028.53898081512,0.335101825159449,0.298337859920473,0.213475296205944,0.426603239466498,"F53G12.5"
"F53G12.4",29.3511251866795,-0.0393541608548446,0.545297026114134,0.913896071319615,0.959389028998284,"F53G12.4"
"F53G12.3",5.70503674777331,-0.157714121076688,0.705854340792214,0.363743843151947,0.588917587869982,"F53G12.3"
"F56C11.5",306.905001982936,-0.288219607203501,0.331762133199505,0.314081934761892,0.542553054205684,"F56C11.5"
"F56C11.3",329.091668186324,0.15376617607519,0.369052313581049,0.622768448783471,0.799272981882691,"F56C11.3"
"Y48G1BL.2",751.158574413678,0.0938840778429664,0.318512145021857,0.760297232183534,0.878189849081606,"Y48G1BL.2"
"Y48G1BL.8",19.195723135615,-1.11535993543366,1.39877709337766,0.0273300190826639,0.0925580640788054,"Y48G1BL.8"
"Y48G1BM.1",182.212715350063,-0.267119543200279,0.344869610809437,0.362068345459819,0.587746265559307,"Y48G1BM.1"
"Y48G1BR.1",1224.57495461027,0.364804384230896,0.254860236004216,0.125846765150026,0.297069584893928,"Y48G1BR.1"
"C53D5.2",213.478208031046,0.0167269661009022,0.284631812005405,0.934730646114947,0.969565328578858,"C53D5.2"
"C53D5.4",327.900131982468,0.385561803914348,0.267535622651358,0.117712211751835,0.283360229555492,"C53D5.4"
"C53D5.1",577.448276768008,-0.229952361199778,0.238553921011388,0.301322562435336,0.528415528107831,"C53D5.1"
"C53D5.5",828.249212269341,-1.08151255949628,0.29824462343163,7.9442548946441e-05,0.000573452698528106,"C53D5.5"
"C53D5.6",6294.56438115708,0.432017540859543,0.17849909019708,0.0119620390671833,0.0473197435314505,"C53D5.6"
"Y48G1A.5",1507.53153289718,-0.265582683230459,0.352743004419962,0.377643710489267,0.601562383890998,"Y48G1A.5"
"Y48G1A.4",1155.5613542506,-0.0705334895821923,0.221604981438211,0.734914465877872,0.864248045815894,"Y48G1A.4"
"Y48G1A.3",458.330298384313,-0.103263839762914,0.242023446990259,0.644897734948575,0.810122016004604,"Y48G1A.3"
"Y48G1A.6",204.375797232641,-0.65101266197051,0.381085351835089,0.043778931927377,0.13474969881906,"Y48G1A.6"
"Y48G1A.2",126.901692202831,0.112099969050747,0.406501185031446,0.729826330270095,0.86093869697192,"Y48G1A.2"
"Y48G1A.1",311.768224510158,-0.952755484955779,0.314704417717541,0.000796958872444382,0.00456386364488771,"Y48G1A.1"
"R119.7",536.59111327906,-0.237973718275707,0.243283440912246,0.294368499749377,0.52065163965385,"R119.7"
"R119.2",788.321913388991,-0.327216777893802,0.302715044447838,0.224106954229587,0.440498916329473,"R119.2"
"R119.3",2043.71225496715,-0.264585629797928,0.248039996571631,0.248720665977152,0.469122403868382,"R119.3"
"R119.4",15951.7737217737,0.569683736178676,0.175661966327649,0.000780261118228991,0.00447446259817813,"R119.4"
"R119.6",820.079600974405,-0.376382426969635,0.127400461596211,0.00246234708988873,0.0124101489954506,"R119.6"
"R119.5",751.862127311935,-0.168590914783803,0.25899689556551,0.475538019871477,0.686786242152782,"R119.5"
"Y50C1A.1",1287.58698126049,0.482234830405425,0.290447832691561,0.0666799140324895,0.186643347137827,"Y50C1A.1"
"Y50C1A.2",80.9181505152425,0.159337563821091,0.430008693104616,0.638108684647256,0.807346131274974,"Y50C1A.2"
"C07F11.1",1192.42906217769,-0.17422241446557,0.297954050362548,0.493977573263542,0.702321082649661,"C07F11.1"
"W04C9.4",1162.98382952907,-0.188735001367512,0.263596097596749,0.426064369278113,0.644783673222987,"W04C9.4"
"W04C9.3",4.0557321644428,-0.0963698276869324,0.691329121858501,0.302317341496259,0.529596569447635,"W04C9.3"
"W04C9.6",12.9645371422278,-0.177993724281065,0.699290164462978,0.22760913515655,0.444499635313628,"W04C9.6"
"W04C9.2",1779.11155766529,-0.538746814339083,0.31447156394155,0.0521157795497696,0.154595968237171,"W04C9.2"
"W04C9.1",3540.83491846443,-0.636734469370061,0.216469286423066,0.0018504692161035,0.0096408510002559,"W04C9.1"
"Y65B4BL.3",129.226846955985,0.187043769229757,0.320340581855772,0.511267790159611,0.714976502296308,"Y65B4BL.3"
"Y65B4BL.4",132.63392036551,0.273214026640368,0.461436872978643,0.433284439999385,0.651164916637773,"Y65B4BL.4"
"Y65B4BL.2",513.26608582255,-0.186813106475636,0.278737861868057,0.428847161111255,0.647487132208438,"Y65B4BL.2"
"Y65B4BL.7",661.914680601743,-0.171850985049405,0.297899543985704,0.51574636493404,0.719168331836295,"Y65B4BL.7"
"Y65B4BL.6",587.81335276145,-0.328883514846256,0.328865088271713,0.253998940650595,0.475089890806729,"Y65B4BL.6"
"Y65B4BL.1",2536.79387170292,0.239855784085182,0.413207284533124,0.475695155107098,0.686813850286137,"Y65B4BL.1"
"Y65B4BM.3",3613.23158531332,0.226642969065962,0.399506108909558,0.492612207420727,0.701622408254357,"Y65B4BM.3"
"Y65B4BR.8",489.012163603791,-0.208925975874064,0.323381309640266,0.460416049393289,0.674149471374675,"Y65B4BR.8"
"Y65B4BR.5",55489.1348945982,-0.0194054798050958,0.308635565090069,0.937272082416564,0.97050641736857,"Y65B4BR.5"
"Y65B4BR.4",5551.13961971281,0.45377730155534,0.267196470169899,0.0653152505948579,0.1836972842174,"Y65B4BR.4"
"Y65B4BR.3",1680.69226428299,-0.252403317076893,0.256349490431372,0.279092493227129,0.503580819287613,"Y65B4BR.3"
"Y65B4BR.1",196.327098518412,-2.54767918282964,0.570715108867447,5.42011076316714e-07,5.72004515894275e-06,"Y65B4BR.1"
"Y65B4BR.9",65.7970728910396,0.221829128457571,0.590999872596115,0.504855405751841,0.710202199383722,"Y65B4BR.9"
"F56A6.5",2.08292566417072,-0.00260383716486149,0.684029724661731,0.984294318259789,0.992324129960391,"F56A6.5"
"F56A6.8",0,NA,NA,NA,NA,"F56A6.8"
"F56A6.1",88.8643932086603,-0.571287381145067,0.68973842009472,0.145961763718127,0.329085520334394,"F56A6.1"
"Y65B4A.6",1901.39398630817,-0.450612508879224,0.195305351802202,0.0154578463053874,0.0584899156895216,"Y65B4A.6"
"Y65B4A.3",2455.08637690386,0.0362206097760491,0.196377298091678,0.849059757528114,0.928884603712149,"Y65B4A.3"
"Y65B4A.2",1155.79083086237,0.259892080999828,0.206890001535046,0.187621595038762,0.391726249618013,"Y65B4A.2"
"Y65B4A.1",1057.24172760527,-0.0231763193700531,0.260582668983595,0.921589422014007,0.962475009350734,"Y65B4A.1"
"Y65B4A.8",865.375239728051,-0.861660428759636,0.318474985768878,0.00212020046800257,0.0108494564735303,"Y65B4A.8"
"Y18H1A.14",9.39260423535365,0.115642664607969,0.649844939213846,0.723917186723452,0.857376971389984,"Y18H1A.14"
"Y18H1A.11",321.910910822075,0.619360881504848,0.261630411096333,0.0103147246414685,0.0418481178986433,"Y18H1A.11"
"Y18H1A.10",4.69515007850119,-0.0988119000445856,0.689572889776088,0.291134058209345,0.516930271745845,"Y18H1A.10"
"Y18H1A.3",983.186670144137,-0.395810190205376,0.296571090574599,0.137486324084884,0.31645669455038,"Y18H1A.3"
"Y18H1A.15",16.4791116252994,-0.118809355376296,0.622979938232129,0.649483541517416,0.812411999896641,"Y18H1A.15"
"Y18H1A.18",21.842693700297,-0.113943836771186,0.56465412728239,0.717504605345572,0.853409231266659,"Y18H1A.18"
"Y18H1A.13",682.066584533641,0.730963980594714,0.25341126535057,0.0019315360565549,0.00999996756887535,"Y18H1A.13"
"Y18H1A.12",110.020578528386,-0.072321308266354,0.399798411990225,0.820075422829571,0.913017304083589,"Y18H1A.12"
"Y18H1A.8",31.012358238102,-0.302768827387119,0.6877662806218,0.304007458847671,0.531615137461372,"Y18H1A.8"
"T06A4.2",5.10880616085297,-0.154692449103778,0.71430074036547,0.101075768153475,0.253571730174716,"T06A4.2"
"T06A4.3",924.554414365522,-0.205421131368762,0.211800025337578,0.294084535653323,0.52037466947362,"T06A4.3"
"ZC123.1",1843.81007277144,-0.607483287302995,0.172296286513454,0.000222961418166676,0.00144790184219852,"ZC123.1"
"ZC123.4",904.012382749278,-0.654150624994199,0.232384903134333,0.00273344566236382,0.0135662335323261,"ZC123.4"
"Y95B8A.8",1458.67953164086,-0.509607342737144,0.244894806674854,0.0254838131500453,0.0874733754708233,"Y95B8A.8"
"Y95B8A.10",1417.69770852716,-0.650518616252497,0.256334648067703,0.00600246867333175,0.0265207393153499,"Y95B8A.10"
"Y95B8A.6",822.297437387349,-0.929515944107043,0.327092595776073,0.00148525975106357,0.00794925942124021,"Y95B8A.6"
"Y95B8A.5",533.938082913285,-0.216389570244346,0.20259601632528,0.262789140304566,0.485723630853099,"Y95B8A.5"
"Y95B8A.4",9.81554642529843,-0.125928064270306,0.666075959865535,0.571349117903418,0.761819955357718,"Y95B8A.4"
"Y95B8A.1",2700.30974443553,0.153695865001916,0.133530588575827,0.240901406199935,0.460132855922533,"Y95B8A.1"
"Y34D9B.1",930.884991748796,-0.680222211384688,0.255028290112351,0.0032036089927905,0.0154588832225322,"Y34D9B.1"
"F54A5.2",905.809398266051,-0.507814068705402,0.276593817940309,0.0453896324524504,0.13867121825646,"F54A5.2"
"F54A5.3",837.892715529124,-0.477724788059926,0.249196696662379,0.0371676077953208,0.118319757118644,"F54A5.3"
"F54A5.1",597.860404863255,-1.73178053093053,0.263160840243779,6.93379177300220e-12,1.29437762433174e-10,"F54A5.1"
"C54G6.3",107.543127370526,-0.414745885424657,0.43700804710738,0.228127984110545,0.445020619990232,"C54G6.3"
"C54G6.2",50.9927912674457,-0.300569372103939,0.473155862889895,0.401041525962632,0.621647425874436,"C54G6.2"
"Y34D9A.1",1956.83552396531,0.126440431959808,0.237202425399222,0.570107347263697,0.760758729887137,"Y34D9A.1"
"Y34D9A.4",977.199485372552,-0.0574354706487585,0.159943339678245,0.710585611472698,0.849893871900566,"Y34D9A.4"
"Y34D9A.3",444.251532160547,-0.325909140078346,0.232862023539138,0.127336278279266,0.299512069901058,"Y34D9A.3"
"Y34D9A.7",1754.7675401003,1.39370715265335,0.216799918955005,2.42468991097496e-11,4.25629515906655e-10,"Y34D9A.7"
"Y34D9A.6",11316.49037669,3.01930187451579,0.3263645711311,8.12863489387237e-22,3.11967919312034e-20,"Y34D9A.6"
"Y34D9A.8",4079.42946769077,2.24210421654856,0.370365579823674,9.83209588590272e-11,1.62006721277314e-09,"Y34D9A.8"
"Y34D9A.10",3111.6038563497,0.343819315909228,0.157438531760833,0.0253980334829857,0.0872585203732938,"Y34D9A.10"
"Y34D9A.2",205.142364963674,0.273251822624574,0.326945169782375,0.337115309200235,0.565274218601968,"Y34D9A.2"
"R06A10.2",752.582706699099,-0.238705153492503,0.386379179729275,0.459669512642024,0.673455345255499,"R06A10.2"
"R06A10.5",31.9888762338407,-0.136535598748097,0.567580614341297,0.674950286563159,0.828469968349972,"R06A10.5"
"R06A10.4",386.452570139534,-0.0278432004275196,0.22508045015541,0.897279717304225,0.952627383715258,"R06A10.4"
"ZK993.2",34.0703940374568,-0.603800428233246,1.07704723140511,0.00913816438122152,0.0377816779602327,"ZK993.2"
"ZK993.5",16.3733666916393,-0.358092405703792,0.783995522419217,0.125498051761365,0.296508690294561,"ZK993.5"
"Y48G8AL.10",467.735081365428,-0.00838500562498926,0.195199088198695,0.975642898582195,0.988557914838439,"Y48G8AL.10"
"Y48G8AL.14",1027.02772885519,-0.723971990368483,0.294412845186427,0.00631970361503778,0.0277438356215407,"Y48G8AL.14"
"Y48G8AL.8",100435.174257829,-0.192706855341198,0.27112692290498,0.431717939859869,0.650313298487111,"Y48G8AL.8"
"Y48G8AL.7",280.017692215565,-0.401466229401415,0.362996222532249,0.190066013102835,0.394961457865283,"Y48G8AL.7"
"Y48G8AL.6",1360.90543828487,0.285381006598472,0.42638775192468,0.401785047642174,0.622290966131343,"Y48G8AL.6"
"Y48G8AL.16",130.529320057594,-2.07621338662624,0.456848534511143,5.31873618721789e-07,5.63230006869226e-06,"Y48G8AL.16"
"Y48G8AL.12",5214.6660820044,-2.0609595334649,0.354847770230967,5.98771472316986e-10,9.13533068505347e-09,"Y48G8AL.12"
"Y48G8AL.13",6687.70540456801,0.684190714426773,0.255180998840671,0.00363547553668726,0.0171937262466059,"Y48G8AL.13"
"Y48G8AL.15",192.21471202809,-0.662607674848581,0.501920169193392,0.0795365593591119,0.21321214905428,"Y48G8AL.15"
"Y48G8AR.1",1507.34983875259,0.335491818043863,0.333801987685939,0.252184064581739,0.472912089544937,"Y48G8AR.1"
"K12C11.4",1778.77777698663,-0.0309476961273352,0.317007172935117,0.909269416639916,0.957465262890451,"K12C11.4"
"K12C11.3",194.057682026541,0.407893322578288,0.378799208838903,0.201635758379202,0.411037919293708,"K12C11.3"
"K12C11.6",580.741106011789,-0.128184607420071,0.36071906349052,0.655992147912815,0.816459315924209,"K12C11.6"
"K12C11.7",232.347303971286,-0.288306560991766,0.272579122704477,0.244490449518586,0.464113061996264,"K12C11.7"
"K12C11.2",2281.85780834515,0.0694324041448538,0.207101408765738,0.726611861332467,0.858664342235489,"K12C11.2"
