"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"Y74C9A.3",689.506291365405,-0.278088300419057,0.209332177461354,0.0885347410569112,0.239856310955871,"Y74C9A.3"
"Y74C9A.2",4962.59592199988,-0.297871079518774,0.176204670064489,0.0398805410367849,0.134483875713555,"Y74C9A.2"
"Y74C9A.4",910.174817566004,-0.317410467175043,0.194986325778166,0.0421666139544253,0.139716587819426,"Y74C9A.4"
"Y74C9A.5",784.143664153675,-0.928072846440281,0.547180770533887,0.00573147520574873,0.0283737324705041,"Y74C9A.5"
"Y74C9A.1",16.9962386152939,-0.196409677993405,0.585043440539724,0.410810013373654,0.63946044262792,"Y74C9A.1"
"Y48G1C.12",277.64895104496,-0.263182682728256,0.225642408611304,0.124552209688285,0.302180786944678,"Y48G1C.12"
"Y48G1C.2",1102.85149446207,-0.172356679431788,0.235737951357148,0.323642017271426,0.55439611902821,"Y48G1C.2"
"Y48G1C.10",494.001846778555,-0.319223491906913,0.386586419492415,0.17291461958665,0.376838054641125,"Y48G1C.10"
"Y48G1C.6",291.373697823044,-0.188779564793705,0.271693439517109,0.321343562747611,0.552648832551446,"Y48G1C.6"
"Y48G1C.9",603.951043251091,0.14810934476443,0.277115608596845,0.439420426143263,0.663019800303921,"Y48G1C.9"
"Y48G1C.1",351.861502423549,-0.243375417500813,0.222888286942001,0.15127911492348,0.34425313161004,"Y48G1C.1"
"Y48G1C.13",11.0229367660322,0.104027539260306,0.550865247884302,0.647613474441166,0.815800597363067,"Y48G1C.13"
"Y48G1C.8",1687.75377470955,0.303602512229595,0.204263962133444,0.0594369549270374,0.180397417862804,"Y48G1C.8"
"F53G12.1",15106.7185367035,0.460687586714992,0.15797573154085,0.000759806981241878,0.00516378646881061,"F53G12.1"
"F53G12.10",174067.526741315,0.205205395932878,0.194323883425584,0.183328457058848,0.392347586989692,"F53G12.10"
"F53G12.9",513.684622439562,0.17717987067059,0.329173832222277,0.398957896557048,0.62811997657733,"F53G12.9"
"F53G12.8",13.5106147790981,-0.352054793710329,0.886951962992238,0.145997641673353,0.337050439598373,"F53G12.8"
"F53G12.7",17.9378206270631,0.487916057170293,0.777708006077418,0.100151180060879,0.261865543622394,"F53G12.7"
"F53G12.6",3.43114085894502,0.0701437268345971,0.731963453412895,0.712611949087576,0.854936567722868,"F53G12.6"
"F53G12.5",1028.53898081512,0.13280488411528,0.246491692789817,0.457874030985123,0.67884704446888,"F53G12.5"
"F53G12.4",29.3511251866795,-0.184788458923292,0.476117424086302,0.433554305615585,0.657694111438907,"F53G12.4"
"F53G12.3",5.70503674777331,0.507240941192481,1.0690559173841,0.0560005777672652,0.172542818920411,"F53G12.3"
"F56C11.5",306.905001982936,0.298066929577863,0.305175706948441,0.150185181994325,0.342716992225012,"F56C11.5"
"F56C11.3",329.091668186324,0.116467791312035,0.298086148715884,0.55714192408266,0.755929363198802,"F56C11.3"
"Y48G1BL.2",751.158574413678,0.028174387359256,0.255867130373901,0.876938405181906,0.946536691307454,"Y48G1BL.2"
"Y48G1BL.8",19.195723135615,-0.0616675672720916,0.516427689169948,0.784558495784728,0.896892334055378,"Y48G1BL.8"
"Y48G1BM.1",182.212715350063,0.278466617640955,0.312046403279616,0.182312208116305,0.390844308721175,"Y48G1BM.1"
"Y48G1BR.1",1224.57495461027,0.216980534454076,0.227793965235045,0.205936036989889,0.42219678044133,"Y48G1BR.1"
"C53D5.2",213.478208031046,0.48352940973847,0.302223444238465,0.025155466231047,0.0942376240360858,"C53D5.2"
"C53D5.4",327.900131982468,0.2865005448304,0.24904227171907,0.117750765322856,0.290981218932185,"C53D5.4"
"C53D5.1",577.448276768008,-0.314440645676117,0.231078773504201,0.072862043525723,0.207922346753752,"C53D5.1"
"C53D5.5",828.249212269341,-0.840110155760977,0.307741525481027,0.000564004908008818,0.0039644108051909,"C53D5.5"
"C53D5.6",6294.56438115708,0.542783552943123,0.186425549088573,0.000594515559182329,0.0041499517464492,"C53D5.6"
"Y48G1A.5",1507.53153289718,-0.0124261555168437,0.273377326667956,0.94746768682894,0.976927240938538,"Y48G1A.5"
"Y48G1A.4",1155.5613542506,0.0237414457137875,0.187324118919367,0.874222943160507,0.945629535658157,"Y48G1A.4"
"Y48G1A.3",458.330298384313,-0.0375486999528616,0.201941689279836,0.811720891015823,0.912178039630074,"Y48G1A.3"
"Y48G1A.6",204.375797232641,-0.493001226176148,0.366810785424506,0.0412057829180736,0.137587530052514,"Y48G1A.6"
"Y48G1A.2",126.901692202831,0.112651043616681,0.328129963763457,0.587194291987677,0.776086450122171,"Y48G1A.2"
"Y48G1A.1",311.768224510158,-0.706539443461922,0.32383507386517,0.00339927252072124,0.0184340477557392,"Y48G1A.1"
"R119.7",536.59111327906,-0.148288665451021,0.212155468239823,0.363258862526295,0.592492288373302,"R119.7"
"R119.2",788.321913388991,0.0552199366037607,0.239797871617915,0.75287261067213,0.879246587028121,"R119.2"
"R119.3",2043.71225496715,0.275099732657829,0.232896017708704,0.116332641174106,0.288661395812092,"R119.3"
"R119.4",15951.7737217737,0.430170493184605,0.178762372164288,0.00399599315199632,0.0211304067766551,"R119.4"
"R119.6",820.079600974405,-0.0489104975505306,0.116493355998072,0.640723678594505,0.811735336582362,"R119.6"
"R119.5",751.862127311935,-0.195754103523621,0.230347717067399,0.256303165864709,0.483326426067141,"R119.5"
"Y50C1A.1",1287.58698126049,0.03210763510492,0.227573661144237,0.850117850061882,0.93459567568086,"Y50C1A.1"
"Y50C1A.2",80.9181505152425,-0.0262654812179896,0.332064281955445,0.898971615309263,0.954529712786462,"Y50C1A.2"
"C07F11.1",1192.42906217769,-0.142497194652798,0.252051905768709,0.432135418506575,0.656999872247324,"C07F11.1"
"W04C9.4",1162.98382952907,-0.0219504948841297,0.215054497109777,0.89357211575799,0.95289165362573,"W04C9.4"
"W04C9.3",4.0557321644428,-0.249843003215677,0.81329168172715,0.255437333422447,0.482417457285894,"W04C9.3"
"W04C9.6",12.9645371422278,-0.100261491555601,0.644594921373039,0.644736181848541,0.814346941990477,"W04C9.6"
"W04C9.2",1779.11155766529,0.0124776228110356,0.23909851844272,0.943147817063246,0.975026075687863,"W04C9.2"
"W04C9.1",3540.83491846443,-0.194600708516319,0.192156724260179,0.203273127659732,0.418794542501005,"W04C9.1"
"Y65B4BL.3",129.226846955985,-0.0543205991992737,0.257447980701227,0.766215201139182,0.887150257756711,"Y65B4BL.3"
"Y65B4BL.4",132.63392036551,-0.379142093859218,0.439974659598544,0.132047086590904,0.314439885126167,"Y65B4BL.4"
"Y65B4BL.2",513.26608582255,-0.00409551632702268,0.226145847689041,0.980692780149347,0.992915550893158,"Y65B4BL.2"
"Y65B4BL.7",661.914680601743,0.202727577737016,0.260998204793947,0.276487505581986,0.506064534638494,"Y65B4BL.7"
"Y65B4BL.6",587.81335276145,0.0945385020527744,0.260595283456808,0.60796461688419,0.789995031966317,"Y65B4BL.6"
"Y65B4BL.1",2536.79387170292,0.0992427863061184,0.324543298075005,0.630189031992604,0.804281742222531,"Y65B4BL.1"
"Y65B4BM.3",3613.23158531332,0.124369828441871,0.319853088704603,0.544957531618012,0.747847736938352,"Y65B4BM.3"
"Y65B4BR.8",489.012163603791,0.106853951646784,0.263033936245555,0.564399990152951,0.760671802063994,"Y65B4BR.8"
"Y65B4BR.5",55489.1348945982,0.418478635324328,0.313720106641946,0.0535486560760098,0.166877686185382,"Y65B4BR.5"
"Y65B4BR.4",5551.13961971281,0.200520936939322,0.232552856218175,0.247944878699702,0.4745611656833,"Y65B4BR.4"
"Y65B4BR.3",1680.69226428299,-0.227248295629863,0.233207377826066,0.19236915853059,0.403751741781561,"Y65B4BR.3"
