"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"C53D5.5",-1.08151255949628,0.000573452698528106,"N2: Treated vs Untreated","cel00430","Taurine and hypotaurine metabolism"
"C53D5.5",-1.08151255949628,0.000573452698528106,"N2: Treated vs Untreated","cel00480","Glutathione metabolism"
"C53D5.5",-1.08151255949628,0.000573452698528106,"N2: Treated vs Untreated","cel00590","Arachidonic acid metabolism"
"C53D5.5",-1.08151255949628,0.000573452698528106,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F37F2.3",4.71123191121023,0.000816904189266576,"N2: Treated vs Untreated","cel00480","Glutathione metabolism"
"F37F2.3",4.71123191121023,0.000816904189266576,"N2: Treated vs Untreated","cel00980","Metabolism of xenobiotics by cytochrome P450"
"F37F2.3",4.71123191121023,0.000816904189266576,"N2: Treated vs Untreated","cel00982","Drug metabolism - cytochrome P450"
"F37F2.3",4.71123191121023,0.000816904189266576,"N2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"F37F2.3",4.71123191121023,0.000816904189266576,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y71G12B.15",1.10621820940506,0.000235636835885692,"N2: Treated vs Untreated","cel04120","Ubiquitin mediated proteolysis"
"F23C8.6",1.40323965749423,3.16962973938596e-15,"N2: Treated vs Untreated","cel03272","Virion - Hepatitis viruses"
"F23C8.6",1.40323965749423,3.16962973938596e-15,"N2: Treated vs Untreated","cel04144","Endocytosis"
"Y71F9AL.5",-1.08773491554883,0.0227093595385402,"N2: Treated vs Untreated","cel00350","Tyrosine metabolism"
"Y71F9AL.5",-1.08773491554883,0.0227093595385402,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"Y71F9AM.6",-1.21674193004008,1.2058072797716e-20,"N2: Treated vs Untreated","cel04141","Protein processing in endoplasmic reticulum"
"Y54E10BR.7",-1.61355109340883,0.000124195441416794,"N2: Treated vs Untreated","cel04082","Neuroactive ligand signaling"
"F28H1.3",1.81204044674244,2.51327496651309e-09,"N2: Treated vs Untreated","cel00970","Aminoacyl-tRNA biosynthesis"
"E01A2.1",2.92804887095715,3.81700951726977e-82,"N2: Treated vs Untreated","cel00270","Cysteine and methionine metabolism"
"E01A2.1",2.92804887095715,3.81700951726977e-82,"N2: Treated vs Untreated","cel00480","Glutathione metabolism"
"E01A2.1",2.92804887095715,3.81700951726977e-82,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"E01A2.1",2.92804887095715,3.81700951726977e-82,"N2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"B0041.6",2.24932253488035,1.82626171610186e-10,"N2: Treated vs Untreated","cel00790","Folate biosynthesis"
"B0041.6",2.24932253488035,1.82626171610186e-10,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"B0041.6",2.24932253488035,1.82626171610186e-10,"N2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"T04D1.3",1.29977995440594,0.000375001705886228,"N2: Treated vs Untreated","cel04144","Endocytosis"
"F57C9.1",2.73671164775612,4.32627427421337e-32,"N2: Treated vs Untreated","cel00750","Vitamin B6 metabolism"
"F57C9.1",2.73671164775612,4.32627427421337e-32,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F57C9.1",2.73671164775612,4.32627427421337e-32,"N2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"C46H11.4",1.13830186096009,3.18631739395652e-09,"N2: Treated vs Untreated","cel00562","Inositol phosphate metabolism"
"C46H11.4",1.13830186096009,3.18631739395652e-09,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C46H11.4",1.13830186096009,3.18631739395652e-09,"N2: Treated vs Untreated","cel04070","Phosphatidylinositol signaling system"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel04068","FoxO signaling pathway"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel04070","Phosphatidylinositol signaling system"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel04081","Hormone signaling"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel04140","Autophagy - animal"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel04150","mTOR signaling pathway"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel04213","Longevity regulating pathway - multiple species"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel04517","IgSF CAM signaling"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel04518","Integrin signaling"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel04620","Toll-like receptor signaling pathway"
"Y110A7A.10",1.01570304527038,1.04645124948224e-06,"N2: Treated vs Untreated","cel05100","Bacterial invasion of epithelial cells"
"C27A12.8",2.11779180539796,2.8465960590287e-20,"N2: Treated vs Untreated","cel04137","Mitophagy - animal"
"K04F10.1",-1.02364993190019,0.000750977141031347,"N2: Treated vs Untreated","cel04330","Notch signaling pathway"
"F57B10.9",1.25516124168482,2.37716971687286e-06,"N2: Treated vs Untreated","cel04144","Endocytosis"
"T10B11.5",-1.43001872812362,0.000401313638286809,"N2: Treated vs Untreated","cel04350","TGF-beta signaling pathway"
"T10B11.1",-1.71891181314226,3.8831406747009e-11,"N2: Treated vs Untreated","cel00790","Folate biosynthesis"
"T10B11.1",-1.71891181314226,3.8831406747009e-11,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"C30F12.6",3.33388717659719,3.02488754040107e-25,"N2: Treated vs Untreated","cel04080","Neuroactive ligand-receptor interaction"
"C30F12.6",3.33388717659719,3.02488754040107e-25,"N2: Treated vs Untreated","cel04081","Hormone signaling"
"F22D6.3",1.94856580368697,3.19460477989817e-34,"N2: Treated vs Untreated","cel00970","Aminoacyl-tRNA biosynthesis"
"R06C7.3",-1.50118502960146,2.9119943111701e-19,"N2: Treated vs Untreated","cel00240","Pyrimidine metabolism"
"R06C7.3",-1.50118502960146,2.9119943111701e-19,"N2: Treated vs Untreated","cel00410","beta-Alanine metabolism"
"R06C7.3",-1.50118502960146,2.9119943111701e-19,"N2: Treated vs Untreated","cel00770","Pantothenate and CoA biosynthesis"
"R06C7.3",-1.50118502960146,2.9119943111701e-19,"N2: Treated vs Untreated","cel00983","Drug metabolism - other enzymes"
"R06C7.3",-1.50118502960146,2.9119943111701e-19,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F52A8.5",-1.57780754161336,1.06031489181974e-06,"N2: Treated vs Untreated","cel00260","Glycine, serine and threonine metabolism"
"F52A8.5",-1.57780754161336,1.06031489181974e-06,"N2: Treated vs Untreated","cel00630","Glyoxylate and dicarboxylate metabolism"
"F52A8.5",-1.57780754161336,1.06031489181974e-06,"N2: Treated vs Untreated","cel00670","One carbon pool by folate"
"F52A8.5",-1.57780754161336,1.06031489181974e-06,"N2: Treated vs Untreated","cel00785","Lipoic acid metabolism"
"F52A8.5",-1.57780754161336,1.06031489181974e-06,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F52A8.5",-1.57780754161336,1.06031489181974e-06,"N2: Treated vs Untreated","cel01200","Carbon metabolism"
"T23G11.7",1.64397476022238,2.71345007696121e-14,"N2: Treated vs Untreated","cel04144","Endocytosis"
"T02E1.5",-1.75046512892105,5.06439671479791e-22,"N2: Treated vs Untreated","cel00830","Retinol metabolism"
"T02E1.5",-1.75046512892105,5.06439671479791e-22,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"T02E1.5",-1.75046512892105,5.06439671479791e-22,"N2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"T01H8.2",-1.37393308291096,0.00147509146481014,"N2: Treated vs Untreated","cel00260","Glycine, serine and threonine metabolism"
"T01H8.2",-1.37393308291096,0.00147509146481014,"N2: Treated vs Untreated","cel00470","D-Amino acid metabolism"
"T01H8.2",-1.37393308291096,0.00147509146481014,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"R05D11.7",1.35134693013205,2.42150437978938e-10,"N2: Treated vs Untreated","cel03040","Spliceosome"
"DY3.6",2.40406693920787,1.60820017800615e-10,"N2: Treated vs Untreated","cel04068","FoxO signaling pathway"
"F32H2.5",2.89824287233553,2.58517817267758e-41,"N2: Treated vs Untreated","cel00061","Fatty acid biosynthesis"
"F32H2.5",2.89824287233553,2.58517817267758e-41,"N2: Treated vs Untreated","cel01100","Metabolic pathways"
"F32H2.5",2.89824287233553,2.58517817267758e-41,"N2: Treated vs Untreated","cel01212","Fatty acid metabolism"
