source	target	edge_type	string_combined_score
pha-4	y39g10ar.6	regulatory	NA
pqm-1	y39g10ar.6	regulatory	NA
fos-1	y39g10ar.6	regulatory	NA
daf-16	y39g10ar.6	regulatory	NA
zip-2	y39g10ar.6	regulatory	NA
daf-16	c10h11.4	regulatory	NA
ceh-60	c10h11.4	regulatory	NA
blmp-1	c10h11.4	regulatory	NA
elt-2	c10h11.4	regulatory	NA
pha-4	c10h11.4	regulatory	NA
nhr-28	c10h11.4	regulatory	NA
nhr-77	c10h11.4	regulatory	NA
pqm-1	c10h11.4	regulatory	NA
fos-1	c10h11.4	regulatory	NA
blmp-1	c10h11.3	regulatory	NA
nhr-28	c10h11.3	regulatory	NA
nhr-77	c10h11.3	regulatory	NA
daf-16	k10g6.4	regulatory	NA
pha-4	f35c5.10	regulatory	NA
blmp-1	f37b1.2	regulatory	NA
skn-1	f37b1.2	regulatory	NA
nhr-28	f37b1.2	regulatory	NA
fos-1	f37b1.2	regulatory	NA
pqm-1	f37b1.8	regulatory	NA
daf-16	f37b1.8	regulatory	NA
hif-1	f37b1.8	regulatory	NA
pha-4	f37b1.8	regulatory	NA
nhr-28	f37b1.8	regulatory	NA
pqm-1	k10h10.2	regulatory	NA
fos-1	k10h10.2	regulatory	NA
daf-16	k10h10.2	regulatory	NA
hif-1	k10h10.2	regulatory	NA
ceh-60	k10h10.2	regulatory	NA
blmp-1	k10h10.2	regulatory	NA
elt-2	k10h10.2	regulatory	NA
skn-1	k10h10.2	regulatory	NA
nhr-28	k10h10.2	regulatory	NA
pqm-1	c29f9.4	regulatory	NA
fos-1	c29f9.4	regulatory	NA
daf-16	c29f9.4	regulatory	NA
ceh-60	c29f9.4	regulatory	NA
elt-2	c29f9.4	regulatory	NA
pha-4	c29f9.4	regulatory	NA
nhr-28	c29f9.4	regulatory	NA
cebp-1	c29f9.4	regulatory	NA
ceh-60	t12b5.10	regulatory	NA
elt-2	t12b5.10	regulatory	NA
pha-4	t12b5.10	regulatory	NA
nhr-28	t12b5.10	regulatory	NA
nhr-77	t12b5.10	regulatory	NA
cebp-1	t12b5.10	regulatory	NA
pqm-1	t12b5.10	regulatory	NA
fos-1	t12b5.10	regulatory	NA
daf-16	t12b5.10	regulatory	NA
ceh-60	zc47.14	regulatory	NA
pha-4	zc47.14	regulatory	NA
skn-1	zc47.14	regulatory	NA
nhr-77	zc47.14	regulatory	NA
cebp-1	zc47.14	regulatory	NA
pqm-1	zc47.14	regulatory	NA
fos-1	zc47.14	regulatory	NA
daf-16	zc47.14	regulatory	NA
zip-2	zc47.14	regulatory	NA
nhr-77	zc47.13	regulatory	NA
cebp-1	zc47.13	regulatory	NA
pqm-1	zc47.13	regulatory	NA
fos-1	zc47.13	regulatory	NA
daf-16	zc47.13	regulatory	NA
zip-2	zc47.13	regulatory	NA
ceh-60	zc47.13	regulatory	NA
elt-2	zc47.13	regulatory	NA
skn-1	zc47.13	regulatory	NA
nhr-28	zc47.13	regulatory	NA
ceh-60	b0284.2	regulatory	NA
blmp-1	b0284.2	regulatory	NA
daf-16	b0284.2	regulatory	NA
nhr-28	c16a3.7	regulatory	NA
nhr-77	c16a3.7	regulatory	NA
pqm-1	c16a3.7	regulatory	NA
fos-1	c16a3.7	regulatory	NA
daf-16	c16a3.7	regulatory	NA
zip-2	c16a3.7	regulatory	NA
hif-1	c16a3.7	regulatory	NA
ceh-60	c16a3.7	regulatory	NA
blmp-1	c16a3.7	regulatory	NA
elt-2	c16a3.7	regulatory	NA
pha-4	c16a3.7	regulatory	NA
skn-1	c16a3.7	regulatory	NA
elt-2	c02f5.8	regulatory	NA
pha-4	c02f5.8	regulatory	NA
nhr-28	c02f5.8	regulatory	NA
pqm-1	c02f5.8	regulatory	NA
fos-1	c02f5.8	regulatory	NA
ceh-60	c02f5.8	regulatory	NA
zip-2	y47d3a.2	regulatory	NA
ceh-60	y47d3a.2	regulatory	NA
blmp-1	y47d3a.2	regulatory	NA
elt-2	y47d3a.2	regulatory	NA
pha-4	y47d3a.2	regulatory	NA
nhr-28	y47d3a.2	regulatory	NA
nhr-77	y47d3a.2	regulatory	NA
pqm-1	y47d3a.2	regulatory	NA
fos-1	y47d3a.2	regulatory	NA
daf-16	y47d3a.2	regulatory	NA
blmp-1	y47d3b.10	regulatory	NA
nhr-77	y47d3b.10	regulatory	NA
pqm-1	c45g7.3	regulatory	NA
blmp-1	c45g7.3	regulatory	NA
zip-2	c49a9.8	regulatory	NA
ceh-60	c49a9.8	regulatory	NA
pha-4	c49a9.8	regulatory	NA
nhr-77	c42d4.2	regulatory	NA
pqm-1	c42d4.2	regulatory	NA
fos-1	c42d4.2	regulatory	NA
daf-16	c42d4.2	regulatory	NA
ceh-60	c42d4.2	regulatory	NA
blmp-1	c42d4.2	regulatory	NA
elt-2	c42d4.2	regulatory	NA
pha-4	c42d4.2	regulatory	NA
skn-1	c42d4.2	regulatory	NA
nhr-28	c42d4.2	regulatory	NA
pha-4	c10c5.2	regulatory	NA
skn-1	c10c5.2	regulatory	NA
nhr-28	c10c5.2	regulatory	NA
nhr-77	c10c5.2	regulatory	NA
cebp-1	c10c5.2	regulatory	NA
pqm-1	c10c5.2	regulatory	NA
fos-1	c10c5.2	regulatory	NA
daf-16	c10c5.2	regulatory	NA
zip-2	c10c5.2	regulatory	NA
ceh-60	c10c5.2	regulatory	NA
ceh-60	f28d1.3	regulatory	NA
elt-2	f28d1.3	regulatory	NA
nhr-28	f28d1.3	regulatory	NA
pqm-1	f28d1.3	regulatory	NA
fos-1	f28d1.3	regulatory	NA
daf-16	f28d1.3	regulatory	NA
nhr-77	f49e11.10	regulatory	NA
pqm-1	f49e11.10	regulatory	NA
fos-1	f49e11.10	regulatory	NA
daf-16	f49e11.10	regulatory	NA
ceh-60	f49e11.10	regulatory	NA
elt-2	f49e11.10	regulatory	NA
pha-4	f49e11.10	regulatory	NA
skn-1	f49e11.10	regulatory	NA
nhr-28	f49e11.10	regulatory	NA
daf-16	r11g11.2	regulatory	NA
zip-2	r11g11.2	regulatory	NA
ceh-60	r11g11.2	regulatory	NA
