"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_num"
"GO:0045087","innate immune response","132/3451","237/12859",2.97335575054719e-21,1.38261042400444e-18,1.38261042400444e-18,"C37A5.3/akir-1/apm-1/cebp-2/tli-1/F41C3.8/gst-6/gst-7/ins-11/sma-6/T19D12.4/maoc-1/aqp-1/ZK1320.2/ZK673.1/pqm-1/clec-66/F01D5.1/zip-2/tir-1/sma-3/gst-1/spp-1/R02D3.8/C34H4.1/lec-11/C17H12.8/H20E11.3/C49C8.5/pyp-1/ugt-44/lys-4/lys-6/clec-186/C32H11.4/C14C6.5/cnc-4/cnc-2/nhr-115/lys-7/F59B1.8/phat-5/nhr-57/F39G3.5/swt-7/F08F3.4/crn-2/C14C11.4/fos-1/K04A8.1/ZK1055.7/fbxa-105/akt-1/lys-3/zip-10/F35E12.9/F35E12.10/decr-1.1/atfs-1/cpr-3/C29F3.7/nhr-50/nhr-63/skr-3/F10A3.4/nhr-112/dkf-2/F16H6.10/ZK228.4/Y43F8B.2/irg-7/asp-14/spp-3/PDB1.1/sek-1/vem-1/clc-1/pgp-3/F18H3.4/akt-2/irg-1/C08E8.4/fbxc-58/C18E9.9/C25D7.5/nhr-139/C39H7.4/irg-2/C49G7.10/F01D5.3/F08G2.5/irg-4/F11D11.3/F13A7.11/F18G5.6/F22H10.2/thn-1/F31F7.1/gst-38/F35E12.2/F49F1.5/mul-1/F53A9.6/F54B8.4/F54B11.11/F55G11.2/F56D2.5/K08D8.4/K09D9.1/dod-17/K10D11.2/gst-5/T05B4.12/fbxa-59/fbxa-60/gst-13/Y17G7B.8/fbxa-150/Y47G6A.14/fbxa-30/fbxa-151/gstk-1/tsp-1/F56F10.1/fipr-22/C18D11.6/cdr-4/prx-11/F52E1.5/Y39G8B.9/M163.11/cnc-11",132,0.0382497826716894
"GO:0055085","transmembrane transport","138/3451","297/12859",1.86558185047222e-13,4.33747780234792e-11,4.33747780234792e-11,"str-176/haf-4/fpn-1.1/abtm-1/C09D4.1/zipt-2.4/pept-3/slc-25A42/slc-30A5/nstp-4/F41C3.2/zipt-3/C18H9.5/pmp-1/aqp-1/haf-2/nhx-2/sfxn-5/ctns-1/T09F3.2/vnut-1/hmit-1.3/wht-3/wht-1/F23F12.3/F56C9.3/ncx-7/vglu-3/K11D9.3/hut-1/ttm-1/aat-4/vdac-1/oat-1/aat-1/C47E12.2/F13B12.2/K08C7.1/pept-2/catp-8/trpa-1/nhx-9/abt-4/R09B5.11/T08B1.1/T22F3.11/Y61A9LA.1/cft-1/pst-1/slc-17.8/slc-17.7/sulp-8/aqp-4/C35A5.3/F17C11.12/zipt-16/spin-1/R10D12.1/F47B8.10/haf-3/T10C6.6/F11A5.9/slc-9B.2/pgp-9/C06H5.6/Y51A2D.18/slo-1/ncx-1/mrp-2/mrp-1/K09C4.1/clh-4/slcr-46.1/mct-4/sulp-2/C03B1.13/pept-1/cdf-1/kqt-1/pgp-10/spp-5/PDB1.1/sfxn-2/kqt-2/F47E1.2/slc-17.9/nhx-5/pgp-8/pgp-6/pbo-4/pgp-3/pgp-4/pgp-12/mct-3/nac-1/Y15E3A.4/nhx-1/cnnm-4/C05G5.1/ncx-6/C13C4.6/nhx-3/pgp-11/aat-2/spin-3/F10C2.7/F11D5.7/F14D7.6/slc-17.5/F25B4.7/slcr-46.3/F41C6.7/kvs-3/F45E10.2/F53H8.3/aat-7/slcf-1/K08F9.1/K09C4.4/K09C4.5/srf-3/R07E3.4/nac-2/aat-6/T11G6.4/pgp-7/T22F3.10/slc-17.4/W04C9.6/slc-46A/nhx-8/haf-7/zipt-15/Y66D12A.13/Y73E7A.3/B0361.11/F23F12.13/Y71G10AR.4",138,0.0399884091567662
"GO:0006511","ubiquitin-dependent protein catabolic process","49/3451","90/12859",2.551212499086e-08,3.07704918393574e-06,3.07704918393574e-06,"ubc-3/pas-3/ari-1.3/ari-1.2/ari-1.1/ubql-1/H05L14.2/pas-4/skr-1/hrdl-1/tli-1/pas-5/rpn-10/Y105E8A.14/ubh-4/C16D2.1/pas-7/rpn-9/F56D2.2/ubq-1/rpn-6.1/ubc-18/rpn-3/cul-1/plr-1/siah-1/uba-1/let-70/cul-6/pas-6/rbx-1/pas-2/math-33/C55A6.1/rpt-1/pas-1/skr-3/skr-5/C02B8.6/C17H11.6/C18B12.4/C01G6.4/F56D2.5/ubc-8/skr-4/skr-16/ubh-2/kel-8/ufd-1",49,0.0141987829614604
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","42/3451","73/12859",2.98829239231781e-08,3.07704918393574e-06,3.07704918393574e-06,"rpn-8/pas-3/rpt-5/ubql-1/wdr-23/pbs-7/pas-4/mel-26/pas-5/rpn-10/pbs-2/pry-1/rpt-4/rpn-11/pbs-3/cdc-48.2/cdc-48.1/rad-23/rpn-12/usp-14/rpn-2/rpt-3/bath-42/pbs-6/nhl-1/ubc-7/rpt-6/ubxn-2/siah-1/ubc-1/fem-1/rpn-1/rpn-7/pas-6/rpt-2/pas-2/rpt-1/aip-1/pas-1/ivns-1/kel-8/ufd-3",42,0.0121703853955375
"GO:0006749","glutathione metabolic process","33/3451","52/12859",3.30865503649004e-08,3.07704918393574e-06,3.07704918393574e-06,"C02D5.4/gst-6/gst-7/gst-16/gst-19/gsto-3/gsr-1/gst-1/gst-40/ethe-1/gst-4/gst-22/gsto-1/gst-42/gst-8/gst-44/gst-38/gst-12/gst-5/gst-9/T07E3.3/gst-13/Y38F2AR.12/gst-26/gst-28/gst-29/gst-31/gst-30/gstk-1/gst-25/gst-35/gst-34/gsto-2",33,0.00956244566792234
"GO:0050830","defense response to Gram-positive bacterium","35/3451","58/12859",8.13520211294969e-08,5.97637330158294e-06,5.97637330158294e-06,"ftn-2/gale-1/F43C11.7/sma-6/lgg-1/clec-61/unc-32/spp-1/ilys-3/clec-82/lgg-2/lys-4/thn-2/lys-7/C50F4.8/cyp-37B1/dkf-2/cebp-1/bar-1/spp-3/spp-5/sek-1/F53A9.8/lec-8/clc-1/nipi-3/clec-52/spl-2/clec-7/clec-264/math-38/clec-218/clec-60/spp-2/clec-172",35,0.0101419878296146
"GO:0036499","PERK-mediated unfolded protein response","17/3451","20/12859",8.99669099163024e-08,5.97637330158294e-06,5.97637330158294e-06,"dnj-28/ZK1307.8/ggtb-1/cbp-3/R02D3.8/clec-67/tbb-6/nas-38/dnj-7/acl-12/pek-1/F22E5.6/gst-38/F57B9.3/fbxa-60/Y58A7A.5/sdz-35",17,0.00492610837438424
"GO:0036498","IRE1-mediated unfolded protein response","49/3451","94/12859",1.57463859099866e-07,9.15258681017971e-06,9.15258681017971e-06,"ubxn-1/K02B12.7/hsp-70/ile-1/rrf-2/gale-1/ostb-1/cdc-48.2/stc-1/ZK1307.8/pdi-1/xbp-1/ckb-2/R07E5.7/C14B9.2/gst-1/F54C8.7/cnx-1/dpy-18/hut-1/gly-5/dsc-4/Y54G2A.18/skn-1/bre-1/C47E12.3/pept-2/imp-2/hsp-16.41/rft-2/ech-3/mpdu-1/sec-22/pdi-2/dhhc-10/hsp-3/T13C5.6/F41B4.3/C36B7.6/acl-12/lec-8/erd-2.1/F18H3.4/fis-2/rtcb-1/F22E5.6/ger-1/sdz-35/cdr-4",49,0.0141987829614604
"GO:0051603","proteolysis involved in protein catabolic process","27/3451","42/12859",4.04040432371421e-07,2.08754223391901e-05,2.08754223391901e-05,"Y65B4A.2/K07A3.3/app-1/pas-3/pbs-7/pas-4/pas-5/pbs-2/pbs-3/pas-7/pbs-6/W07B8.4/cpr-5/pas-6/cpr-4/tag-196/pas-2/cpr-1/F32H5.1/cpz-2/pas-1/cpr-3/cpl-1/R09F10.1/Y40H7A.10/Y70C5C.1/Y113G7B.15",27,0.00782381918284555
"GO:0050829","defense response to Gram-negative bacterium","50/3451","100/12859",6.27777420185859e-07,2.91916500386424e-05,2.91916500386424e-05,"cebp-2/ikb-1/gcy-35/bpnt-1/F41C3.8/T19D12.4/maoc-1/aqp-1/pqm-1/daf-7/zip-2/tir-1/xbp-1/gst-1/spp-1/kgb-1/grd-3/skn-1/T25B9.9/fic-1/thn-2/lipl-5/cnc-2/hsp-16.41/lys-7/nlp-31/elt-7/swt-7/gpa-3/F32G8.3/decr-1.1/atfs-1/egl-1/skr-3/nhr-112/dkf-2/cebp-1/spp-3/spp-5/sek-1/pgp-3/nipi-3/irg-1/irg-2/irg-4/thn-1/nlp-62/daf-8/prx-11/ced-9",50,0.0144885540423066
"GO:0042221","response to chemical","18/3451","26/12859",7.69188311107764e-06,0.000325156876968282,0.000325156876968282,"haf-4/abtm-1/ahr-1/haf-2/haf-3/pgp-9/pgp-10/pgp-8/pgp-6/pgp-3/pgp-4/pgp-12/gpx-3/pgp-11/gpx-2/pgp-7/haf-7/prdx-2",18,0.00521587945523037
"GO:1904070","ascaroside biosynthetic process","11/3451","13/12859",2.28478607150543e-05,0.000885354602708355,0.000885354602708355,"acox-1.1/acox-1.2/acox-1.4/acs-7/daf-22/acox-1.5/acox-3/dhs-28/cest-9.1/cest-3/cest-8",11,0.00318748188930745
"GO:0006629","lipid metabolic process","49/3451","109/12859",3.39163391636862e-05,0.0012034428743253,0.0012034428743253,"haf-4/fasn-1/art-1/gpcp-2/plc-3/pqm-1/acl-7/nhr-80/ads-1/klf-1/ZK370.4/C40H1.7/Y49E10.18/txt-4/elo-6/ipla-6/elo-1/fat-4/fat-3/B0035.13/elo-2/lipl-5/lipl-3/T21H3.1/acds-10/lipl-6/F28H7.3/lipl-1/fmo-4/acly-1/acl-4/gpcp-1/sur-5/ipla-2/sgk-1/C07E3.9/elo-3/lipl-7/F25A2.1/lipl-2/R08F11.1/nac-2/W02F12.2/Y46H3A.5/Y51H4A.5/elo-9/Y110A7A.7/seip-1/Y54G2A.45",49,0.0141987829614604
"GO:0006812","monoatomic cation transport","18/3451","28/12859",3.62326886893639e-05,0.0012034428743253,0.0012034428743253,"slc-30A5/nhx-2/F56C9.3/ncx-7/ttm-1/cua-1/ZK185.2/nhx-9/slc-9B.2/cdf-1/PDB1.1/nhx-5/pbo-4/nhx-1/ncx-6/nhx-3/F41C6.7/nhx-8",18,0.00521587945523037
"GO:0006631","fatty acid metabolic process","28/3451","53/12859",5.14235498542478e-05,0.00159413004548168,0.00159413004548168,"acs-16/acbp-1/T05E7.1/asah-1/acox-1.1/acox-1.2/acox-1.4/mmcm-1/acox-1.5/ech-6/acdh-11/Y48A6B.9/T26C12.1/acox-3/paqr-1/ech-8/ZK550.6/acs-21/cpt-6/cpt-5/ech-1.1/sur-5/B0272.3/acox-1.6/F58A6.1/K05B2.4/W03D8.8/acs-2",28,0.00811359026369168
"GO:0042026","protein refolding","15/3451","22/12859",6.01776075209621e-05,0.00174891171857796,0.00174891171857796,"hsp-70/dnj-12/F44E5.4/hsp-12.2/hsp-12.3/hsp-12.6/hsp-1/hsp-16.2/hsp-16.41/hsp-6/hsp-3/F08H9.3/F08H9.4/F11F1.1/dnj-19",15,0.00434656621269197
