"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_num"
"GO:0006412","translation","78/898","168/12859",1.13212239289294e-45,3.92846470333852e-43,3.92846470333852e-43,"rpl-17/rpl-27/eif-2alpha/eif-2gamma/mrpl-17/rpl-13/rpl-4/rpl-41.2/rpl-19/rps-17/nars-1/rps-15/eef-2/rps-19/rpl-14/rps-7/eif-3.J/glp-4/rpl-31/rps-6/rps-20/Y105E8A.20/rps-26/rpl-22/kars-1/eif-3.G/iff-2/rpl-5/rpl-26/rpl-32/rps-9/eif-3.B/rps-29/gars-1/rps-12/rpl-23/rps-3/rps-13/rps-14/rpl-36/rps-21/rpl-6/pars-1/rpl-9/rpl-35/eef-1B.1/rpl-21/ubq-2/rpl-15/rps-28/cif-1/rps-4/rps-8/rps-2/sars-1/iars-1/rps-5/rps-11/rpl-34/rps-23/rpl-12/rpl-18/rps-18/eef-1B.2/ife-3/rps-27/rpl-39/C37C3.2/F46B6.6/eef-1G/rpl-28/rps-16/rpl-38/ife-2/rpl-11.2/mrpl-49/mrps-18.C/mrps-16",78,0.0868596881959911
"GO:0002181","cytoplasmic translation","13/898","18/12859",5.33386373790193e-12,9.25425358525984e-10,9.25425358525984e-10,"rpl-17/rpl-31/rps-26/rpl-22/rpl-26/rps-29/rpl-36/rpl-6/rpl-9/rpl-15/rps-28/sars-1/rps-23",13,0.0144766146993318
"GO:0042274","ribosomal small subunit biogenesis","8/898","15/12859",2.26866667271417e-06,0.000231437291022505,0.000231437291022505,"rps-7/rps-6/rps-9/rps-12/rps-13/rps-14/rps-8/rps-5",8,0.0089086859688196
"GO:0007218","neuropeptide signaling pathway","27/898","146/12859",2.66786502619602e-06,0.000231437291022505,0.000231437291022505,"nlp-12/flp-22/C17F4.2/nlp-50/flp-4/flp-16/nlp-21/nlp-20/flp-9/nlp-13/sbt-1/flp-11/flp-7/flp-5/C13A10.2/C18A11.2/nlp-7/F28F9.3/F41E7.7/frpr-19/nlp-25/nlp-43/F13E9.12/nlp-34/K07C5.9/T20B3.14/nlp-82",27,0.0300668151447661
"GO:0006418","tRNA aminoacylation for protein translation","8/898","20/12859",3.2398938291021e-05,0.00224848631739686,0.00224848631739686,"nars-1/glp-4/Y105E8A.20/kars-1/gars-1/pars-1/sars-1/iars-1",8,0.0089086859688196
"GO:0045087","innate immune response","33/898","237/12859",0.000108125220822387,0.00625324193756137,0.00625324193756137,"acdh-1/ZK1320.2/pqm-1/clec-66/F01D5.1/sma-3/spp-1/M04G7.1/lec-11/C17H12.8/ugt-44/dod-24/C14C6.5/phat-5/akt-1/F35E12.9/F16H6.10/C42D8.1/spp-3/pgp-3/F18H3.4/C25D7.5/irg-2/F01D5.5/F13A7.11/F54B8.4/F56D2.5/K08D8.4/fbxa-60/fbxa-150/gstk-1/mev-1/Y39G8B.9",33,0.0367483296213808
"GO:0006414","translational elongation","6/898","13/12859",0.000127780130077372,0.0063342435909783,0.0063342435909783,"eef-2/iff-2/eef-1B.1/eef-1B.2/cgp-1/eef-1G",6,0.0066815144766147
"GO:0030150","protein import into mitochondrial matrix","6/898","16/12859",0.000497081499975076,0.0215609100614189,0.0215609100614189,"timm-23/romo-1/C34C12.8/tomm-7/tomm-70/F56B3.11",6,0.0066815144766147
"GO:0006413","translational initiation","10/898","43/12859",0.000604693001812361,0.0233142746254321,0.0233142746254321,"eif-2alpha/eif-2gamma/eif-3.J/eif-3.G/eif-3.B/cif-1/ife-3/C37C3.2/F46B6.6/ife-2",10,0.0111358574610245
"GO:0036498","IRE1-mediated unfolded protein response","16/898","94/12859",0.000739224897899294,0.0256511039571055,0.0256511039571055,"dnj-27/acs-11/T06D8.9/ckb-2/col-89/dpy-18/spcs-2/col-109/crld-1/Y41E3.8/crt-1/mpdu-1/F41B4.3/F18H3.4/ger-1/lips-11",16,0.0178173719376392
