"UniprotID.TF","Name.TF","total_targets","deg_targets","prop_deg","contrast","index"
"O16850","daf-16",5919,1863,0.314749113025849,"N2_TR_vs_UN",586.377597567157
"Q17381","pha-4",5634,1648,0.292509762158324,"N2_TR_vs_UN",482.056088036919
"G5EFY7","pqm-1",4462,1582,0.354549529359032,"N2_TR_vs_UN",560.897355445988
"Q45EK2","ceh-60",4137,1572,0.379985496736766,"N2_TR_vs_UN",597.337200870196
"G5ECG2","fos-1",4528,1501,0.331492932862191,"N2_TR_vs_UN",497.570892226148
"Q17905","nhr-28",4177,1449,0.346899688771846,"N2_TR_vs_UN",502.657649030405
"Q93560","blmp-1",4480,1237,0.276116071428571,"N2_TR_vs_UN",341.555580357143
"Q10655","elt-2",3333,1206,0.361836183618362,"N2_TR_vs_UN",436.374437443744
"G5EDT1","lin-35",4459,1156,0.259250953128504,"N2_TR_vs_UN",299.694101816551
"O02316","nhr-77",3645,1103,0.302606310013717,"N2_TR_vs_UN",333.77475994513
"G5EEG1","nfya-1",4434,1094,0.246729815065404,"N2_TR_vs_UN",269.922417681552
"P91868","snpc-4",4493,1080,0.240373914978856,"N2_TR_vs_UN",259.603828177164
"Q22190","sma-9",3394,1077,0.317324690630524,"N2_TR_vs_UN",341.758691809075
"Q22703","dpl-1",4646,1024,0.220404649160568,"N2_TR_vs_UN",225.694360740422
"Q9N5S3","lsy-2",4272,1022,0.239232209737828,"N2_TR_vs_UN",244.49531835206
"P34670","snu-23",3781,960,0.253901084369214,"N2_TR_vs_UN",243.745040994446
"G5EF11","efl-1",4282,920,0.214852872489491,"N2_TR_vs_UN",197.664642690332
"G5ECR9","unc-55",4049,906,0.223758952827859,"N2_TR_vs_UN",202.72561126204
"P41828","nhr-23",3483,905,0.25983347688774,"N2_TR_vs_UN",235.149296583405
"Q9N5D6","unc-62",2341,848,0.362238359675352,"N2_TR_vs_UN",307.178129004699
"Q21502","mep-1",3342,828,0.247755834829443,"N2_TR_vs_UN",205.141831238779
"P34707","skn-1",2839,800,0.281789362451567,"N2_TR_vs_UN",225.431489961254
"Q21446","lin-14",2897,766,0.26441146013117,"N2_TR_vs_UN",202.539178460476
"O17514","mes-2",3419,763,0.223164668031588,"N2_TR_vs_UN",170.274641708102
"G5EG44","mdl-1",2557,751,0.293703558858037,"N2_TR_vs_UN",220.571372702386
"P10038","mab-5",3049,726,0.238110856018367,"N2_TR_vs_UN",172.868481469334
"D0VWM8","tdp-1",3020,712,0.235761589403974,"N2_TR_vs_UN",167.862251655629
"Q27395","lin-15B",3207,700,0.218272528843156,"N2_TR_vs_UN",152.790770190209
"O16748","ceh-82",3027,693,0.228939544103072,"N2_TR_vs_UN",158.655104063429
"Q19345","nhr-25",2568,677,0.263629283489097,"N2_TR_vs_UN",178.477024922118
"G5EFQ5","rnt-1",2823,647,0.229188806234502,"N2_TR_vs_UN",148.285157633723
"P41829","nhr-6",2483,622,0.250503423278292,"N2_TR_vs_UN",155.813129279098
"Q11107","lin-13",3036,612,0.201581027667984,"N2_TR_vs_UN",123.367588932806
"O17208","gmeb-1",2638,601,0.227824109173616,"N2_TR_vs_UN",136.922289613343
"A5JYV4","nhr-129",2251,597,0.265215459795646,"N2_TR_vs_UN",158.333629498001
"O17646","-",2778,585,0.210583153347732,"N2_TR_vs_UN",123.191144708423
"G5ECU7","1-Jun",1918,582,0.303441084462982,"N2_TR_vs_UN",176.602711157456
"Q95QD7","lin-54",3035,573,0.188797364085667,"N2_TR_vs_UN",108.180889621087
"Q9GTD4","nhr-71",2388,558,0.233668341708543,"N2_TR_vs_UN",130.386934673367
"G5EBF1","sax-3",1962,537,0.273700305810398,"N2_TR_vs_UN",146.977064220183
"Q9U299","xrn-2",1997,521,0.260891337005508,"N2_TR_vs_UN",135.92438657987
