"UniprotID.TF","Name.TF","total_targets","deg_targets","prop_deg","contrast","index"
"G5ED89","dcp-66",1,1,1,"RB2060_TR_vs_N2UN",1
"G5EGN8","nhr-27",1,1,1,"RB2060_TR_vs_N2UN",1
"H2KYD3","-",1,1,1,"RB2060_TR_vs_N2UN",1
"O45521","nhr-111",2,2,1,"RB2060_TR_vs_N2UN",2
"Q09477","dpff-1",1,1,1,"RB2060_TR_vs_N2UN",1
"Q19306","-",1,1,1,"RB2060_TR_vs_N2UN",1
"O02224","ceh-79",3,2,0.666666666666667,"RB2060_TR_vs_N2UN",1.33333333333333
"P22980","hlh-1",3,2,0.666666666666667,"RB2060_TR_vs_N2UN",1.33333333333333
"Q23272","atfs-1",11,7,0.636363636363636,"RB2060_TR_vs_N2UN",4.45454545454545
"Q9BLC4","sdz-12",8,5,0.625,"RB2060_TR_vs_N2UN",3.125
"Q22798","-",5,3,0.6,"RB2060_TR_vs_N2UN",1.8
"Q9NAG7","ztf-22",5,3,0.6,"RB2060_TR_vs_N2UN",1.8
"Q17561","aly-1",7,4,0.571428571428571,"RB2060_TR_vs_N2UN",2.28571428571429
"Q93705","unc-3",16,9,0.5625,"RB2060_TR_vs_N2UN",5.0625
"Q21148","zip-2",196,108,0.551020408163265,"RB2060_TR_vs_N2UN",59.5102040816327
"O44498","set-9",11,6,0.545454545454545,"RB2060_TR_vs_N2UN",3.27272727272727
"O01819","tofu-4",15,8,0.533333333333333,"RB2060_TR_vs_N2UN",4.26666666666667
"Q10007","hlh-6",17,9,0.529411764705882,"RB2060_TR_vs_N2UN",4.76470588235294
"Q965P0","-",17,9,0.529411764705882,"RB2060_TR_vs_N2UN",4.76470588235294
"Q10938","-",4,2,0.5,"RB2060_TR_vs_N2UN",1
"Q18533","mls-2",8,4,0.5,"RB2060_TR_vs_N2UN",2
"Q21578","pha-2",4,2,0.5,"RB2060_TR_vs_N2UN",1
"Q7YWZ7","-",10,5,0.5,"RB2060_TR_vs_N2UN",2.5
