"UniprotID.TF","Name.TF","total_targets","deg_targets","prop_deg","contrast","index"
"P34333","gei-8",3,1,0.333333333333333,"RB2060_TR_vs_N2",0.333333333333333
"Q7YWZ7","-",8,2,0.25,"RB2060_TR_vs_N2",0.5
"G5EBL3","sdc-2",203,44,0.216748768472906,"RB2060_TR_vs_N2",9.53694581280788
"Q9NAG7","ztf-22",5,1,0.2,"RB2060_TR_vs_N2",0.2
"Q20082","zfp-2",154,27,0.175324675324675,"RB2060_TR_vs_N2",4.73376623376623
"Q94361","gei-17",30,5,0.166666666666667,"RB2060_TR_vs_N2",0.833333333333333
"Q21272","pax-1",104,16,0.153846153846154,"RB2060_TR_vs_N2",2.46153846153846
"Q21148","zip-2",180,26,0.144444444444444,"RB2060_TR_vs_N2",3.75555555555556
"Q17768","spr-3",21,3,0.142857142857143,"RB2060_TR_vs_N2",0.428571428571429
"B2D6P4","tlf-1",90,12,0.133333333333333,"RB2060_TR_vs_N2",1.6
"Q9XVV3","nhr-67",100,13,0.13,"RB2060_TR_vs_N2",1.69
"Q11178","attf-4",54,7,0.12962962962963,"RB2060_TR_vs_N2",0.907407407407407
"A7DTF0","mrg-1",16,2,0.125,"RB2060_TR_vs_N2",0.25
"Q09604","vab-15",24,3,0.125,"RB2060_TR_vs_N2",0.375
"Q9BLC4","sdz-12",8,1,0.125,"RB2060_TR_vs_N2",0.125
"Q9XWL0","-",16,2,0.125,"RB2060_TR_vs_N2",0.25
"Q9N360","-",41,5,0.121951219512195,"RB2060_TR_vs_N2",0.609756097560976
"G5EFF5","daf-12",33,4,0.121212121212121,"RB2060_TR_vs_N2",0.484848484848485
"Q23521","-",301,36,0.119601328903654,"RB2060_TR_vs_N2",4.30564784053156
"Q22812","ceh-39",350,41,0.117142857142857,"RB2060_TR_vs_N2",4.80285714285714
"A0A131MCL4","die-1",26,3,0.115384615384615,"RB2060_TR_vs_N2",0.346153846153846
"Q19335","repo-1",26,3,0.115384615384615,"RB2060_TR_vs_N2",0.346153846153846
"Q09534","-",79,9,0.113924050632911,"RB2060_TR_vs_N2",1.0253164556962
"Q20060","smc-4",44,5,0.113636363636364,"RB2060_TR_vs_N2",0.568181818181818
"G5EGE2","cog-1",36,4,0.111111111111111,"RB2060_TR_vs_N2",0.444444444444444
"O18065","zim-3",18,2,0.111111111111111,"RB2060_TR_vs_N2",0.222222222222222
"O61845","chd-7",28,3,0.107142857142857,"RB2060_TR_vs_N2",0.321428571428571
"Q9U263","set-26",227,24,0.105726872246696,"RB2060_TR_vs_N2",2.53744493392071
"Q23272","atfs-1",10,1,0.1,"RB2060_TR_vs_N2",0.1
"O01789","him-1",83,8,0.0963855421686747,"RB2060_TR_vs_N2",0.771084337349398
"Q966B8","nhr-237",534,51,0.0955056179775281,"RB2060_TR_vs_N2",4.87078651685393
"O62183","aly-2",524,50,0.0954198473282443,"RB2060_TR_vs_N2",4.77099236641221
