"UniprotID.TF","Name.TF","total_targets","deg_targets","prop_deg","contrast","index"
"G5EFY7","pqm-1",4462,94,0.0210667861945316,"RB2060_UN_vs_N2",1.98027790228597
"G5ECG2","fos-1",4528,91,0.0200971731448763,"RB2060_UN_vs_N2",1.82884275618375
"Q45EK2","ceh-60",4137,91,0.0219966159052453,"RB2060_UN_vs_N2",2.00169204737733
"O16850","daf-16",5919,83,0.0140226389592837,"RB2060_UN_vs_N2",1.16387903362054
"Q17905","nhr-28",4177,79,0.0189130955231027,"RB2060_UN_vs_N2",1.49413454632511
"Q17381","pha-4",5634,76,0.0134895278665247,"RB2060_UN_vs_N2",1.02520411785588
"O02316","nhr-77",3645,67,0.0183813443072702,"RB2060_UN_vs_N2",1.23155006858711
"Q10655","elt-2",3333,66,0.0198019801980198,"RB2060_UN_vs_N2",1.30693069306931
"Q22190","sma-9",3394,65,0.0191514437242192,"RB2060_UN_vs_N2",1.24484384207425
"G5EDT1","lin-35",4459,54,0.0121103386409509,"RB2060_UN_vs_N2",0.653958286611348
"Q9N5D6","unc-62",2341,50,0.0213583938487826,"RB2060_UN_vs_N2",1.06791969243913
"P91868","snpc-4",4493,49,0.0109058535499666,"RB2060_UN_vs_N2",0.534386823948364
"G5EEG1","nfya-1",4434,45,0.010148849797023,"RB2060_UN_vs_N2",0.456698240866035
"P34707","skn-1",2839,45,0.0158506516379007,"RB2060_UN_vs_N2",0.71327932370553
"Q9N5S3","lsy-2",4272,45,0.0105337078651685,"RB2060_UN_vs_N2",0.474016853932584
"A5JYV4","nhr-129",2251,43,0.0191026210573079,"RB2060_UN_vs_N2",0.821412705464238
"Q22703","dpl-1",4646,40,0.0086095566078347,"RB2060_UN_vs_N2",0.344382264313388
"Q93560","blmp-1",4480,40,0.00892857142857143,"RB2060_UN_vs_N2",0.357142857142857
"Q18909","cebp-1",956,39,0.0407949790794979,"RB2060_UN_vs_N2",1.59100418410042
