"Name.TF","total","Treatment-only","Genotype-only","Conditional interaction","Name.TF_lower"
"BLMP-1",4593,0.37927280644459,0.0106684084476377,0.0446331373829741,"blmp-1"
"CEBP-1",992,0.38508064516129,0.0120967741935484,0.0856854838709677,"cebp-1"
"CEH-60",4343,0.425972829841124,0.0099009900990099,0.0559521068385908,"ceh-60"
"DAF-16",6085,0.399835661462613,0.0100246507806081,0.0486442070665571,"daf-16"
"ELT-2",3428,0.430280046674446,0.0102100350058343,0.05950991831972,"elt-2"
"FOS-1",4653,0.409628196862239,0.00988609499247797,0.058027079303675,"fos-1"
"LIN-35",4581,0.357345557738485,0.00895001091464746,0.0471512770137525,"lin-35"
"NHR-28",4293,0.419753086419753,0.0109480549732122,0.0554390868856278,"nhr-28"
"NHR-77",3735,0.386345381526104,0.00937081659973226,0.0572958500669344,"nhr-77"
"PHA-4",5791,0.378691072353652,0.00880676912450354,0.0474874805733034,"pha-4"
"PQM-1",4623,0.417477828250054,0.00995024875621891,0.0568894657149037,"pqm-1"
"SMA-9",3481,0.400172364263143,0.00976730824475725,0.0571674806090204,"sma-9"
"SNPC-4",4732,0.330938292476754,0.00908706677937447,0.0445900253592561,"snpc-4"
"ZIP-2",199,0.321608040201005,0.0050251256281407,0.271356783919598,"zip-2"
