TF,n_GxE_targets,GxE_targets
pqm-1,31,c02f5.8;c05e11.5;c07g3.2;c10c5.2;c10h11.4;c16a3.7;c29f9.4;c31a11.7;c42d4.2;c45g7.3;c52e4.1;f22e10.1;f28d1.3;f37b1.8;f44c4.3;f49e11.10;k10h10.2;r11g11.2;t06e6.5;t08g5.10;t12b5.10;t21e8.1;y39g10ar.6;y47d3a.2;y70c5c.6;zc373.6;zc443.5;zc443.6;zc455.5;zc47.13;zc47.14
fos-1,29,c02f5.8;c05e11.5;c07g3.2;c10c5.2;c10h11.4;c16a3.7;c29f9.4;c31a11.7;c42d4.2;c49g7.5;c52e4.1;f22e10.1;f28d1.3;f37b1.2;f44c4.3;f49e11.10;k10h10.2;r11g11.2;t06e6.5;t12b5.10;y39g10ar.6;y47d3a.2;y70c5c.6;zc373.6;zc443.5;zc443.6;zc455.5;zc47.13;zc47.14
nhr-28,28,c02f5.8;c05e11.5;c07g3.2;c10c5.2;c10h11.3;c10h11.4;c16a3.7;c29f9.4;c31a11.7;c42d4.2;c49g7.5;f16f9.2;f22e10.1;f28d1.3;f37b1.2;f37b1.8;f44c4.3;f49e11.10;k10h10.2;r11g11.2;t08g5.10;t12b5.10;t21e8.1;y47d3a.2;zc373.6;zc443.5;zc455.5;zc47.13
daf-16,27,b0284.2;c05e11.5;c07g3.2;c10c5.2;c10h11.4;c16a3.7;c29f9.4;c31a11.7;c42d4.2;c52e4.1;f08f3.7;f28d1.3;f37b1.8;f49e11.10;k10g6.4;k10h10.2;r10d12.17;r11g11.2;t06e6.5;t12b5.10;y39g10ar.6;y47d3a.2;y49c4a.8;zc373.6;zc455.5;zc47.13;zc47.14
ceh-60,27,b0284.2;c02f5.8;c05e11.5;c10c5.2;c10h11.4;c16a3.7;c29f9.4;c31a11.7;c42d4.2;c49a9.8;c49g7.5;c52e4.1;f28d1.3;f44c4.3;f49e11.10;k10h10.2;r11g11.2;t08g5.10;t12b5.10;t21e8.1;y47d3a.2;y49c4a.8;zc373.6;zc443.6;zc455.5;zc47.13;zc47.14
nhr-77,25,c05e11.5;c07g3.2;c10c5.2;c10h11.3;c10h11.4;c16a3.7;c42d4.2;c49g7.5;c52e4.1;f22e10.1;f44c4.3;f49e11.10;r10d12.17;r11g11.2;t12b5.10;t21e8.1;t21e8.2;y47d3a.2;y47d3b.10;y70c5c.6;zc373.6;zc443.5;zc455.5;zc47.13;zc47.14
pha-4,24,c02f5.8;c05e11.5;c07g3.2;c10c5.2;c10h11.4;c16a3.7;c29f9.4;c31a11.7;c42d4.2;c49a9.8;f35c5.10;f37b1.8;f44c4.3;f49e11.10;r11g11.2;t06e6.5;t12b5.10;t21e8.1;y39g10ar.6;y47d3a.2;y70c5c.6;zc373.6;zc455.5;zc47.14
elt-2,20,c02f5.8;c07g3.2;c10h11.4;c16a3.7;c29f9.4;c42d4.2;f22e10.1;f28d1.3;f44c4.3;f49e11.10;k10h10.2;r11g11.2;t08g5.10;t12b5.10;y47d3a.2;zc373.6;zc443.5;zc443.6;zc455.5;zc47.13
skn-1,15,c10c5.2;c16a3.7;c31a11.7;c42d4.2;c49g7.5;f37b1.2;f44c4.3;f49e11.10;k10h10.2;r11g11.2;t21e8.1;y70c5c.6;zc443.5;zc47.13;zc47.14
blmp-1,13,b0284.2;c10h11.3;c10h11.4;c16a3.7;c42d4.2;c45g7.3;f16f9.2;f37b1.2;k10h10.2;r10d12.17;r11g11.2;y47d3a.2;y47d3b.10
zip-2,12,c10c5.2;c16a3.7;c49a9.8;c49g7.5;f08f3.7;r11g11.2;t21e8.1;y39g10ar.6;y47d3a.2;y49c4a.8;zc47.13;zc47.14
cebp-1,10,c10c5.2;c29f9.4;c31a11.7;c49g7.5;r11g11.2;t12b5.10;t21e8.1;y70c5c.6;zc47.13;zc47.14
hif-1,3,c16a3.7;f37b1.8;k10h10.2
